"sampledate","Genus","CellBioVol","daynum","year"
1997-01-14,"Limnothrix",38415.98497,14,1997
1997-01-14,"Microcystis",5776.317644,14,1997
1997-01-14,"Peanut",3994.2997,14,1997
1997-01-14,"Lindavia",113.0973355,14,1997
1997-01-14,NA,1104.760206,14,1997
1997-01-14,"Cyclostephanos",188.494,14,1997
1997-01-14,"Naked Dinoflagellate",7003.540037,14,1997
1997-01-14,"Cryptomonad",976.177,14,1997
1997-01-14,"Cf. Komvophoron / Trichormus",1242.168395,14,1997
1997-01-14,"TotalBiovolume",58814.83928,14,1997
1997-02-17,"Limnothrix",1292.194559,48,1997
1997-02-17,"Microcystis",369.3055543,48,1997
1997-02-17,"Cf. Komvophoron / Trichormus",58.685121,48,1997
1997-02-17,"TotalBiovolume",1720.185234,48,1997
1997-05-06,"Limnothrix",485.278306,126,1997
1997-05-06,"Microcystis",852.2435868,126,1997
1997-05-06,"Cf. Komvophoron / Trichormus",1408.442904,126,1997
1997-05-06,"Cf. Planktolyngabia",6283.185308,126,1997
1997-05-06,"Cocconeis",12669.29705,126,1997
1997-05-06,"Peanut",934.8361,126,1997
1997-05-06,"Rhoicosphenia",6568.57089,126,1997
1997-05-06,"Lindavia",565.4866775,126,1997
1997-05-06,"Cyclostephanos",94.247,126,1997
1997-05-06,"Cryptomonad",42366.0818,126,1997
1997-05-06,"Naked Dinoflagellate",301152.2216,126,1997
1997-05-06,"Armored Dinoflagellate",180221.813,126,1997
1997-05-06,"TotalBiovolume",553601.7042,126,1997
1997-06-18,"Sellaphora",120,169,1997
1997-06-18,"Diatoma mesodon",530.1437603,169,1997
1997-06-18,"Cocconeis",610.5685324,169,1997
1997-06-18,"Navicula",373.2096618,169,1997
1997-06-18,"Limnothrix",45.142168,169,1997
1997-06-18,"Dinobryon",58942.959,169,1997
1997-06-18,"Microcystis",580.7882221,169,1997
1997-06-18,"Cryptomonad",12690.301,169,1997
1997-06-18,"Naked Dinoflagellate",35017.70019,169,1997
1997-06-18,"Armored Dinoflagellate",7873.768528,169,1997
1997-06-18,"Lindavia",2035.752039,169,1997
1997-06-18,"Cyclostephanos",94.247,169,1997
1997-06-18,"Cocconeis",1831.705597,169,1997
1997-06-18,"Elakatothrix",106.501969,169,1997
1997-06-18,"TotalBiovolume",120852.7877,169,1997
1997-08-28,"Cf. Planktolyngabia",4398.229716,240,1997
1997-08-28,"Nostoc",195.61707,240,1997
1997-08-28,"Peanut",169.9702,240,1997
1997-08-28,"Limnothrix",1201.910223,240,1997
1997-08-28,"Microcystis",1508.786794,240,1997
1997-08-28,"Cf. Komvophoron / Trichormus",1574.717414,240,1997
1997-08-28,"Cryptomonad",11714.124,240,1997
1997-08-28,"Naked Dinoflagellate",35017.70019,240,1997
1997-08-28,"Armored Dinoflagellate",6124.042189,240,1997
1997-08-28,"Lindavia",565.4866775,240,1997
1997-08-28,"Cocconeis",11295.51785,240,1997
1997-08-28,"Elakatothrix",54.549789,240,1997
1997-08-28,"Cyclostephanos",94.247,240,1997
1997-08-28,"Lindavia",88.8455477,240,1997
1997-08-28,"TotalBiovolume",74003.74465,240,1997
1997-11-10,NA,0,314,1997
1997-11-10,"Cyclostephanos",376.988,314,1997
1997-11-10,"Microcystis",261.9859915,314,1997
1997-11-10,"Limnothrix",823.844566,314,1997
1997-11-10,"Cf. Komvophoron / Trichormus",273.863898,314,1997
1997-11-10,"Cryptomonad",18937.8338,314,1997
1997-11-10,"Naked Dinoflagellate",84042.48044,314,1997
1997-11-10,"Armored Dinoflagellate",10498.35804,314,1997
1997-11-10,"Lindavia",44.42277385,314,1997
1997-11-10,"Cyanobacteria",4799.82635,314,1997
1997-11-10,"Dinobryon",2068.174,314,1997
1997-11-10,"Fragilaria",1244.62,314,1997
1997-11-10,"Elakatothrix",5.195218,314,1997
1997-11-10,"Asterionella",5455.867498,314,1997
1997-11-10,"TotalBiovolume",128833.4606,314,1997
1998-02-23,"Cf. Planktolyngabia",1570.796327,54,1998
1998-02-23,"Limnothrix",8588.297462,54,1998
1998-02-23,"Microcystis",3150.144814,54,1998
1998-02-23,"Cf. Komvophoron / Trichormus",2885.351783,54,1998
1998-02-23,"Cryptomonad",14642.655,54,1998
1998-02-23,"Naked Dinoflagellate",126063.7207,54,1998
1998-02-23,"Armored Dinoflagellate",18372.12657,54,1998
1998-02-23,"Merismopedia",564,54,1998
1998-02-23,"Cf. Komvophoron / Trichormus",127.1510955,54,1998
1998-02-23,"Cyclostephanos",94.247,54,1998
1998-02-23,"Fragilaria",5911.945,54,1998
1998-02-23,"Dinobryon",2068.174,54,1998
1998-02-23,"Cyanobacteria",4887.09592,54,1998
1998-02-23,"Cf. Cavinula",131.95,54,1998
1998-02-23,"Elakatothrix",5.195218,54,1998
1998-02-23,"Lindavia",44.42277385,54,1998
1998-02-23,"TotalBiovolume",189107.2736,54,1998
1998-04-20,"Fragilaria",3733.86,110,1998
1998-04-20,"Peanut",169.9702,110,1998
1998-04-20,"Fragilaria",1244.62,110,1998
1998-04-20,"Cf. Komvophoron / Trichormus",58.685121,110,1998
1998-04-20,"Asterionella",545.5867498,110,1998
1998-04-20,"Cf. Planktolyngabia",628.3185308,110,1998
1998-04-20,"Limnothrix",293.424092,110,1998
1998-04-20,"Cryptomonad",21280.6586,110,1998
1998-04-20,"Naked Dinoflagellate",84042.48044,110,1998
1998-04-20,"Armored Dinoflagellate",62115.28506,110,1998
1998-04-20,"Dinobryon",7238.609,110,1998
1998-04-20,"Merismopedia",318,110,1998
1998-04-20,"TotalBiovolume",181669.4978,110,1998
1998-06-15,"Asterionella",10911.735,166,1998
1998-06-15,"Cf. Planktolyngabia",5654.866777,166,1998
1998-06-15,"Peanut",1019.8212,166,1998
1998-06-15,"Microcystis",1483.535133,166,1998
1998-06-15,"Cyclostephanos",188.494,166,1998
1998-06-15,"Diploneis",241.4706653,166,1998
1998-06-15,"Encyonema",47.63282781,166,1998
1998-06-15,"Limnothrix",2166.824064,166,1998
1998-06-15,"Cf. Komvophoron / Trichormus",3834.094572,166,1998
1998-06-15,"Cryptomonad",24794.8958,166,1998
1998-06-15,"Naked Dinoflagellate",77038.94041,166,1998
1998-06-15,"Armored Dinoflagellate",13122.94755,166,1998
1998-06-15,"Cyanobacteria",3490.7828,166,1998
1998-06-15,"Dinobryon",21715.827,166,1998
1998-06-15,"Fragilaria",2178.085,166,1998
1998-06-15,"Merismopedia",12,166,1998
1998-06-15,"Elakatothrix",7.792827,166,1998
1998-06-15,"TotalBiovolume",167909.7456,166,1998
1997-07-14,"Elakatothrix",93.513924,195,1997
1997-07-14,"Cf. Planktolyngabia",17907.07813,195,1997
1997-07-14,"Sellaphora",240,195,1997
1997-07-14,"Fragilaria",622.31,195,1997
1997-07-14,"Asterocapsa",3879.43376,195,1997
1997-07-14,"Cf. Komvophoron / Trichormus",39.123414,195,1997
1997-07-14,"Cryptomonad",12104.5948,195,1997
1997-07-14,"Navicula",186.6048309,195,1997
1997-07-14,"Asterionella",1636.760249,195,1997
1997-07-14,"Limnothrix",2307.893339,195,1997
1997-07-14,"Microcystis",1707.643631,195,1997
1997-07-14,"Cf. Komvophoron / Trichormus",1770.334484,195,1997
1997-07-14,"Naked Dinoflagellate",133067.2607,195,1997
1997-07-14,"Armored Dinoflagellate",6998.905358,195,1997
1997-07-14,"Lindavia",10039.54689,195,1997
1997-07-14,"Cyanobacteria",7679.72216,195,1997
1997-07-14,"Dinobryon",4136.348,195,1997
1997-07-14,"TotalBiovolume",204417.0737,195,1997
1998-08-12,NA,0,224,1998
1998-08-12,"Asterionella",1091.1735,224,1998
1998-08-12,"Planothidium",380.0070474,224,1998
1998-08-12,"Limnothrix",2787.528874,224,1998
1998-08-12,"Microcystis",1540.351372,224,1998
1998-08-12,"Cf. Komvophoron / Trichormus",1946.389847,224,1998
1998-08-12,"Cryptomonad",6833.239,224,1998
1998-08-12,"Naked Dinoflagellate",105053.1006,224,1998
1998-08-12,"Armored Dinoflagellate",12248.08438,224,1998
1998-08-12,"Lindavia",7596.294328,224,1998
1998-08-12,"Cyanobacteria",15446.71389,224,1998
1998-08-12,"Dinobryon",11374.957,224,1998
1998-08-12,"Cf. Planktolyngabia",27331.85609,224,1998
1998-08-12,"Elakatothrix",194.820675,224,1998
1998-08-12,NA,0,224,1998
1998-08-12,"TotalBiovolume",193824.5166,224,1998
1998-11-12,"Hippodonta",315.7300617,316,1998
1998-11-12,NA,0,316,1998
1998-11-12,NA,0,316,1998
1998-11-12,NA,0,316,1998
1998-11-12,NA,0,316,1998
1998-11-12,"Cf. Coelosphaerium",585.7554,316,1998
1998-11-12,NA,0,316,1998
1998-11-12,"Microcystis",78.91144323,316,1998
1998-11-12,"Cf. Komvophoron / Trichormus",58.685121,316,1998
1998-11-12,"Cryptomonad",8980.8284,316,1998
1998-11-12,"Naked Dinoflagellate",105053.1006,316,1998
1998-11-12,"Armored Dinoflagellate",19246.98974,316,1998
1998-11-12,"Lindavia",310.959417,316,1998
1998-11-12,"Cryptomonad",2342.8248,316,1998
1998-11-12,"Cyanobacteria",6981.5656,316,1998
1998-11-12,"Dinobryon",1034.087,316,1998
1998-11-12,"Fragilaria",2178.085785,316,1998
1998-11-12,"Cf. Planktolyngabia",314.1592654,316,1998
1998-11-12,"Elakatothrix",38.964135,316,1998
1998-11-12,"TotalBiovolume",147520.6467,316,1998
1999-02-23,"Cyclostephanos",94.247,54,1999
1999-02-23,"Cyanobacteria",261.80871,54,1999
1999-02-23,"Diatoma mesodon",3180.862562,54,1999
1999-02-23,"Limnothrix",919.771673,54,1999
1999-02-23,"Microcystis",637.6044613,54,1999
1999-02-23,"Cryptomonad",3123.7664,54,1999
1999-02-23,"Naked Dinoflagellate",63031.86033,54,1999
1999-02-23,"Armored Dinoflagellate",6124.042189,54,1999
1999-02-23,"Lindavia",44.42277385,54,1999
1999-02-23,"Cocconeis",5189.832525,54,1999
1999-02-23,"Fragilaria",622.31,54,1999
1999-02-23,"Elakatothrix",44.159353,54,1999
1999-02-23,"TotalBiovolume",83274.68798,54,1999
1999-05-04,"Tetraedron victoriae",377.9776,124,1999
1999-05-04,NA,9272.136234,124,1999
1999-05-04,"Placoneis",910.8753375,124,1999
1999-05-04,"Epithemia",252.8982086,124,1999
1999-05-04,"Asterionella",545.5867498,124,1999
1999-05-04,"Cf. Komvophoron / Trichormus",39.123414,124,1999
1999-05-04,"Asterocapsa",3879.43376,124,1999
1999-05-04,"Microcystis",296.7070265,124,1999
1999-05-04,"Cyanobacteria",174.53914,124,1999
1999-05-04,"Cryptomonad",14056.9488,124,1999
1999-05-04,"Naked Dinoflagellate",105053.1006,124,1999
1999-05-04,"Armored Dinoflagellate",16622.40023,124,1999
1999-05-04,"Euglena",29571.152,124,1999
1999-05-04,"Cocconeis",2900.200529,124,1999
1999-05-04,"Dinobryon",4136.348,124,1999
1999-05-04,"Fragilaria",39205.53,124,1999
1999-05-04,"Elakatothrix",10.390436,124,1999
1999-05-04,"TotalBiovolume",227305.348,124,1999
1999-07-01,"Asterionella",5455.867498,182,1999
1999-07-01,NA,4636.068117,182,1999
1999-07-01,"Asterocapsa",3879.43376,182,1999
1999-07-01,"Limnothrix",28.213855,182,1999
1999-07-01,"Microcystis",0,182,1999
1999-07-01,"Euglena",7392.788,182,1999
