lakeid,sampledate,yearfrac,wtemp,o2,o2sat,cond,frlight,chlor,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,year4frac
TB,7/15/1981,81.5340,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.534
TB,7/29/1981,81.5730,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.573
TB,8/12/1981,81.6110,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.611
TB,8/27/1981,81.6520,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.652
TB,9/14/1981,81.7010,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.701
TB,9/26/1981,81.7340,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.734
TB,10/23/1981,81.8080,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.808
TB,1/27/1982,82.0740,2.67,3.28,24.98,20.02,,18.28,,4.65,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.074
TB,3/3/1982,82.1699,2.76,1.90,14.46,19.64,,15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.170
TB,4/6/1982,82.2630,2.30,1.19,8.78,23.16,,0.70,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.263
TB,5/12/1982,82.3616,6.34,1.90,18.93,22.51,0.09,5.62,,4.73,,42.95,,,,,4.48,0.00,,,,,,1083.55,,,,0.31,3.07,1.35,0.39,0.18,0.71,,,,,,,,,1982.362
TB,5/24/1982,82.3945,7.74,2.12,22.05,25.85,0.10,11.84,,4.50,,,,,,,0.00,0.00,,,,,,1160.61,,,,,,,,,,,,,,,,,,1982.395
TB,6/7/1982,82.4329,8.54,2.02,22.15,,0.14,31.53,,5.26,,,,,,,2.54,0.00,,,,,,873.49,,,,,,,,,,,,,,,,,,1982.433
TB,6/21/1982,82.4712,9.29,,,23.24,0.11,57.37,18.48,4.61,,,,,,,0.00,0.00,,,,,,984.27,,,,,,,,,,,,,,,,,,1982.471
TB,7/7/1982,82.5151,12.35,1.58,20.05,22.19,0.13,19.90,7.79,4.67,,,,,,,8.07,0.00,,,,,,863.68,,,,,,,,,,,,,,,,,,1982.515
TB,7/22/1982,82.5562,12.29,1.88,24.01,,,14.22,15.94,4.60,,,,,,,0.00,0.00,138.15,,,,,859.52,,,,,,,,,,,,,,,,,,1982.556
TB,8/4/1982,82.5918,11.38,1.86,22.41,22.41,0.10,38.18,28.08,4.51,,,,,,,0.00,2.13,144.97,,,,,970.23,,,,,,,,,,,,,,,,,,1982.592
TB,8/19/1982,82.6329,12.07,,,19.18,0.10,28.30,18.09,4.83,,-4.08,,,,,0.00,0.00,129.19,,,18.75,,854.63,,,,0.44,2.56,1.29,0.41,0.18,0.68,,,,,,,,,1982.633
TB,9/7/1982,82.6849,10.78,,,,0.10,11.64,25.11,4.61,,,,,,,0.93,0.42,206.54,,,,,830.65,,,,,,,,,,,,,,,,,,1982.685
TB,9/20/1982,82.7205,9.80,3.47,35.03,,0.10,14.00,52.01,4.59,,,,,,,3.35,0.36,129.97,,,,,306.85,,,,,,,,,,,,,,,,,,1982.721
TB,10/7/1982,82.7671,9.68,3.73,37.18,,0.10,9.06,30.14,4.59,,,,,,,2.99,0.54,28.29,,,,,960.40,,,,,,,,,,,,,,,,,,1982.767
TB,10/18/1982,82.7973,8.57,3.51,33.22,,0.09,15.58,26.10,3.81,,,,,,,1.45,0.00,168.81,,,,,930.02,,,,,,,,,,,,,,,,,,1982.797
TB,11/9/1982,82.8575,4.13,4.25,34.52,24.00,0.09,11.59,4.24,4.39,,-32.97,,,,,1.73,0.00,129.88,,,4.09,,1008.34,,,,0.33,3.15,1.35,0.38,0.21,0.60,,,,,,,,,1982.858
TB,11/30/1982,82.9151,3.03,4.92,38.35,26.71,,13.22,1.96,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.915
TB,1/10/1983,83.0274,3.03,3.73,28.63,,,10.26,7.63,4.50,,,,,,,,0.51,227.70,,,,,1052.48,,,,,,,,,,,,,,,,,,1983.027
TB,2/22/1983,83.1452,2.87,2.34,17.72,22.37,,7.31,5.44,4.64,,-73.97,,,,,15.15,0.77,264.49,,,17.32,,1164.87,,,,0.28,2.77,1.32,0.43,0.18,0.73,,,,,,,,,1983.145
TB,3/24/1983,83.2274,2.80,2.16,16.27,26.00,,13.71,3.91,4.65,,,,,,,4.29,,276.99,,,,,1507.01,,,,,,,,,,,,,,,,,,1983.227
TB,5/9/1983,83.3534,6.82,3.59,33.96,22.31,0.10,9.50,2.64,4.57,,-14.33,,,,,1.66,,127.35,,,9.57,,348.58,,,,0.26,2.66,1.26,0.39,0.15,0.61,,,,,,,,,1983.353
TB,5/24/1983,83.3945,7.00,2.44,24.12,23.87,,7.97,2.38,4.48,,,,,,,0.00,,163.88,,,,,791.02,,,,,,,,,,,,,,,,,,1983.395
TB,6/9/1983,83.4384,8.80,2.47,26.68,23.23,0.12,7.01,2.31,4.59,,,,,,,0.79,,176.79,,,,,894.89,,,,,,,,,,,,,,,,,,1983.438
TB,6/23/1983,83.4767,9.51,1.28,15.45,24.56,0.11,16.26,7.66,4.51,,,,,,,0.36,,11.51,,,,,910.06,,,,,,,,,,,,,,,,,,1983.477
TB,7/5/1983,83.5096,10.72,2.35,27.19,26.00,0.10,26.43,3.00,4.50,,,,,,,1.37,,12.56,,,,,,,,,,,,,,,,,,,,,,,1983.510
TB,7/19/1983,83.5479,11.86,2.38,29.69,20.67,0.10,12.95,4.07,4.51,,,,,,,2.10,,0.00,,,,,1431.19,,,,,,,,,,,,,,,,,,1983.548
TB,8/3/1983,83.5890,12.23,2.37,29.80,,0.10,18.76,8.21,4.62,,,,,,,0.00,,113.38,,,,,,,,,,,,,,,,,,,,,,,1983.589
TB,8/17/1983,83.6274,12.10,2.52,30.83,24.56,,23.00,12.27,4.59,,-13.47,,,,,0.00,,324.86,,,9.69,,1018.42,,,,0.27,2.20,1.33,0.42,0.17,0.70,,,,,,,,,1983.627
TB,9/8/1983,83.6877,11.91,1.63,19.25,23.56,0.10,16.98,27.53,4.57,,,,,,,1.25,,234.98,,,,,987.29,,,,,,,,,,,,,,,,,,1983.688
TB,9/28/1983,83.7425,10.18,3.05,32.28,20.40,0.10,11.62,17.33,4.55,,,,,,,0.39,,148.72,,,,,946.34,,,,,,,,,,,,,,,,,,1983.743
TB,10/19/1983,83.8000,7.18,4.20,37.77,23.34,0.10,11.13,7.98,4.46,,,,,,,0.00,,215.19,,,,,939.20,,,,,,,,,,,,,,,,,,1983.800
TB,11/14/1983,83.8712,3.88,4.03,32.56,23.45,0.09,5.00,2.50,4.49,,-21.66,,,,,0.00,,206.77,,,8.94,,1028.00,,,,0.29,2.92,1.38,0.43,0.14,0.65,,,,,,,,,1983.871
