year,daynum,sampledate,chlor,avsnow,totice,whiteice,blueice,perwhiteice,perblueice,light,Genus,CellBioVol,ice.pres
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Limnothrix,38415.98497,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Microcystis,5776.317644,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Peanut,3994.2997,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Lindavia,113.0973355,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,NA,1104.760206,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Cyclostephanos,188.494,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Naked Dinoflagellate,7003.540037,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Cryptomonad,976.177,1
1997,14,1/14/97,1.3,11,37,26,11,70.27027027,29.72972973,NA,Cf. Komvophoron / Trichormus,1242.168395,1
,,,,,,,,,,,,,
1997,48,2/17/97,0.9,24.5,40,26,14,65,35,NA,Limnothrix,1292.194559,1
1997,48,2/17/97,0.9,24.5,40,26,14,65,35,NA,Microcystis,369.3055543,1
1997,48,2/17/97,0.9,24.5,40,26,14,65,35,NA,Cf. Komvophoron / Trichormus,58.685121,1
,,,,,,,,,,,,,
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Limnothrix,485.278306,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Microcystis,852.2435868,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Cf. Komvophoron / Trichormus,1408.442904,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Cf. Planktolyngabia,6283.185308,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Cocconeis,12669.29705,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Peanut,934.8361,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Rhoicosphenia,6568.57089,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Lindavia,565.4866775,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Cyclostephanos,94.247,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Cryptomonad,42366.0818,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Naked Dinoflagellate,301152.2216,0
1997,126,5/6/97,7.3,0,0,0,0,0,0,1275,Armored Dinoflagellate,180221.813,0
,,,,,,,,,,,,,
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Sellaphora,120,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Diatoma mesodon,530.1437603,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Cocconeis,610.5685324,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Navicula,373.2096618,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Limnothrix,45.142168,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Dinobryon,58942.959,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Microcystis,580.7882221,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Cryptomonad,12690.301,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Naked Dinoflagellate,35017.70019,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Armored Dinoflagellate,7873.768528,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Lindavia,2035.752039,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Cyclostephanos,94.247,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Cocconeis,1831.705597,0
1997,169,6/18/97,1,0,0,0,0,0,0,604.8,Elakatothrix,106.501969,0
,,,,,,,,,,,,,
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Cf. Planktolyngabia,4398.229716,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Nostoc,195.61707,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Peanut,169.9702,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Limnothrix,1201.910223,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Microcystis,1508.786794,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Cf. Komvophoron / Trichormus,1574.717414,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Cryptomonad,11714.124,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Naked Dinoflagellate,35017.70019,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Armored Dinoflagellate,6124.042189,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Lindavia,565.4866775,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Cocconeis,11295.51785,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Elakatothrix,54.549789,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Cyclostephanos,94.247,0
1997,240,8/28/97,0.5,0,0,0,0,0,0,214.1,Lindavia,88.8455477,0
,,,,,,,,,,,,,
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Cyclostephanos,376.988,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Microcystis,261.9859915,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Limnothrix,823.844566,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Cf. Komvophoron / Trichormus,273.863898,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Cryptomonad,18937.8338,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Naked Dinoflagellate,84042.48044,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Armored Dinoflagellate,10498.35804,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Lindavia,44.42277385,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Cyanobacteria,4799.82635,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Dinobryon,2068.174,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Fragilaria,1244.62,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Elakatothrix,5.195218,0
1997,314,11/10/97,1.8,0,0,0,0,0,0,105.6,Asterionella,5455.867498,0
,,,,,,,,,,,,,
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cf. Planktolyngabia,1570.796327,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Limnothrix,8588.297462,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Microcystis,3150.144814,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cf. Komvophoron / Trichormus,2885.351783,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cryptomonad,14642.655,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Naked Dinoflagellate,126063.7207,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Armored Dinoflagellate,18372.12657,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Merismopedia,564,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cf. Komvophoron / Trichormus,127.1510955,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cyclostephanos,94.247,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Fragilaria,5911.945,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Dinobryon,2068.174,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cyanobacteria,4887.09592,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Cf. Cavinula,131.95,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Elakatothrix,5.195218,1
1998,54,2/23/98,0.7,0,35,11,24,31.42857143,68.57142857,148,Lindavia,44.42277385,1
,,,,,,,,,,,,,
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Asterionella,10911.735,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Cf. Planktolyngabia,5654.866777,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Peanut,1019.8212,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Microcystis,1483.535133,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Cyclostephanos,188.494,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Diploneis,241.4706653,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Encyonema,47.63282781,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Limnothrix,2166.824064,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Cf. Komvophoron / Trichormus,3834.094572,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Cryptomonad,24794.8958,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Naked Dinoflagellate,77038.94041,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Armored Dinoflagellate,13122.94755,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Cyanobacteria,3490.7828,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Dinobryon,21715.827,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Fragilaria,2178.085,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Merismopedia,12,0
1998,166,6/15/98,0.9,0,0,0,0,0,0,1118,Elakatothrix,7.792827,0
,,,,,,,,,,,,,
1998,224,8/12/98,1,0,0,0,0,0,0,707,Asterionella,1091.1735,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Planothidium,380.0070474,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Limnothrix,2787.528874,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Microcystis,1540.351372,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Cf. Komvophoron / Trichormus,1946.389847,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Cryptomonad,6833.239,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Naked Dinoflagellate,105053.1006,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Armored Dinoflagellate,12248.08438,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Lindavia,7596.294328,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Cyanobacteria,15446.71389,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Dinobryon,11374.957,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Cf. Planktolyngabia,27331.85609,0
1998,224,8/12/98,1,0,0,0,0,0,0,707,Elakatothrix,194.820675,0
,,,,,,,,,,,,,
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Hippodonta,315.7300617,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cf. Coelosphaerium,585.7554,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Microcystis,78.91144,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cf. Komvophoron / Trichormus,58.68512,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cryptomonad,8980.828,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Naked Dinoflagellate,105053.1,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Armored Dinoflagellate,19246.99,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Lindavia,310.9594,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cryptomonad,2342.825,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cyanobacteria,6981.566,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Dinobryon,1034.087,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Fragilaria,2178.086,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Cf. Planktolyngabia,314.1593,0
1998,316,11/12/98,3.9,0,0,0,0,0,0,464.2,Elakatothrix,38.96413,0
,,,,,,,,,,,,,
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Cyclostephanos,94.247,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Cyanobacteria,261.8087,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Diatoma mesodon,3180.863,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Limnothrix,919.7717,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Microcystis,637.6045,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Cryptomonad,3123.766,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Naked Dinoflagellate,63031.86,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Armored Dinoflagellate,6124.042,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Lindavia,44.42277,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Cocconeis,5189.833,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Fragilaria,622.31,1
1999,54,2/23/99,5.1,9,41,14,27,34.14634,65.85366,9.66,Elakatothrix,44.15935,1
,,,,,,,,,,,,,
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Tetraedron victoriae,377.9776,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,NA,9272.136,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Placoneis,910.8753,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Epithemia,252.8982,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Asterionella,545.5867,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Cf. Komvophoron / Trichormus,39.12341,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Asterocapsa,3879.434,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Microcystis,296.707,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Cyanobacteria,174.5391,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Cryptomonad,14056.95,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Naked Dinoflagellate,105053.1,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Armored Dinoflagellate,16622.4,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Euglena,29571.15,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Cocconeis,2900.201,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Dinobryon,4136.348,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Fragilaria,39205.53,0
1999,124,5/4/99,3.3,0,0,0,0,0,0,1104,Elakatothrix,10.39044,0
,,,,,,,,,,,,,
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Asterionella,5455.867,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,NA,4636.068,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Asterocapsa,3879.434,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Limnothrix,28.21385,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Euglena,7392.788,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Cryptomonad,4099.943,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Naked Dinoflagellate,21010.62,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Armored Dinoflagellate,6124.042,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Cocconeis,2594.916,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Dinobryon,11374.96,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Fragilaria,1396.313,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Cf. Planktolyngabia,3455.752,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Elakatothrix,449.3864,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Cyanobacteria,2443.548,0
1999,182,7/1/99,1.3,0,0,0,0,0,0,1354.3,Flagellated Green,610.887,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Asterionella,5455.867,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,NA,4636.068,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Asterocapsa,3879.434,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Limnothrix,28.21385,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Euglena,7392.788,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Cryptomonad,4099.943,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Naked Dinoflagellate,21010.62,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Armored Dinoflagellate,6124.042,0
1999,182,7/1/99,0.9,0,0,0,0,0,0,1354.3,Cocconeis,2594.916,0
