"sampledate","Aphanothece bacilloidea","Genus","CellBioVol"
1997-01-14,0,"Cf. Komvophoron / Trichormus",1242.168395
1997-01-14,0,"Cryptomonad",976.177
1997-01-14,0,"Cyclostephanos",188.494
1997-01-14,0,"Limnothrix",38415.98497
1997-01-14,0,"Lindavia",113.0973355
1997-01-14,0,"Microcystis",5776.317644
1997-01-14,0,"Naked Dinoflagellate",7003.540037
1997-01-14,0,"Peanut",3994.2997
1997-01-14,0,"TotalBiovolume",58814.83928
1997-01-14,0,"NA",1104.760206
1997-01-14,0,"Armored Dinoflagellate",0
1997-01-14,0,"Cf. Planktolyngabia",0
1997-01-14,0,"Cocconeis",0
1997-01-14,0,"Rhoicosphenia",0
1997-01-14,0,"Diatoma mesodon",0
1997-01-14,0,"Dinobryon",0
1997-01-14,0,"Elakatothrix",0
1997-01-14,0,"Navicula",0
1997-01-14,0,"Sellaphora",0
1997-01-14,0,"Asterionella",0
1997-01-14,0,"Asterocapsa",0
1997-01-14,0,"Cyanobacteria",0
1997-01-14,0,"Fragilaria",0
1997-01-14,0,"Nostoc",0
1997-01-14,0,"Cf. Cavinula",0
1997-01-14,0,"Merismopedia",0
1997-01-14,0,"Diploneis",0
1997-01-14,0,"Encyonema",0
1997-01-14,0,"Planothidium",0
1997-01-14,0,"Cf. Coelosphaerium",0
1997-01-14,0,"Hippodonta",0
1997-01-14,0,"Epithemia",0
1997-01-14,0,"Euglena",0
1997-01-14,0,"Placoneis",0
1997-01-14,0,"Tetraedron victoriae",0
1997-01-14,0,"Flagellated Green",0
1997-01-14,0,"Aulacoseira",0
1997-01-14,0,"Pseudostaurosira",0
1997-01-14,0,"Stauroforma",0
1997-01-14,0,"Stephanodiscus",0
1997-01-14,0,"Tabellaria",0
1997-01-14,0,"Achnanthidium",0
1997-01-14,0,"Segmented Green",0
1997-01-14,0,"Gomphoneis",0
1997-01-14,0,"Gloeocapsa",0
1997-01-14,0,"Mallomonas",0
1997-01-14,0,"Cyclotella",0
1997-01-14,0,"Nitzschia",0
1997-01-14,0,"Synura",0
1997-01-14,0,"Discostella",0
1997-01-14,0,"Anabaena",0
1997-01-14,0,"Chroococcus",0
1997-01-14,0,"Planktolyngabia",0
1997-01-14,0,"Staurosira",0
1997-01-14,0,"Chroococcus cf. kidneys",0
1997-01-14,0,"Cosmarium",0
1997-01-14,0,"Planktothrix",0
1997-01-14,0,"Small Chroococcus",0
1997-01-14,0,"Long thin rod",0
1997-02-17,0,"Cf. Komvophoron / Trichormus",58.685121
1997-02-17,0,"Cryptomonad",0
1997-02-17,0,"Cyclostephanos",0
1997-02-17,0,"Limnothrix",1292.194559
1997-02-17,0,"Lindavia",0
1997-02-17,0,"Microcystis",369.3055543
1997-02-17,0,"Naked Dinoflagellate",0
1997-02-17,0,"Peanut",0
1997-02-17,0,"TotalBiovolume",1720.185234
1997-02-17,0,"NA",0
1997-02-17,0,"Armored Dinoflagellate",0
1997-02-17,0,"Cf. Planktolyngabia",0
1997-02-17,0,"Cocconeis",0
1997-02-17,0,"Rhoicosphenia",0
1997-02-17,0,"Diatoma mesodon",0
1997-02-17,0,"Dinobryon",0
1997-02-17,0,"Elakatothrix",0
1997-02-17,0,"Navicula",0
1997-02-17,0,"Sellaphora",0
1997-02-17,0,"Asterionella",0
1997-02-17,0,"Asterocapsa",0
1997-02-17,0,"Cyanobacteria",0
1997-02-17,0,"Fragilaria",0
1997-02-17,0,"Nostoc",0
1997-02-17,0,"Cf. Cavinula",0
1997-02-17,0,"Merismopedia",0
1997-02-17,0,"Diploneis",0
1997-02-17,0,"Encyonema",0
1997-02-17,0,"Planothidium",0
1997-02-17,0,"Cf. Coelosphaerium",0
1997-02-17,0,"Hippodonta",0
1997-02-17,0,"Epithemia",0
1997-02-17,0,"Euglena",0
1997-02-17,0,"Placoneis",0
1997-02-17,0,"Tetraedron victoriae",0
1997-02-17,0,"Flagellated Green",0
1997-02-17,0,"Aulacoseira",0
1997-02-17,0,"Pseudostaurosira",0
1997-02-17,0,"Stauroforma",0
1997-02-17,0,"Stephanodiscus",0
1997-02-17,0,"Tabellaria",0
1997-02-17,0,"Achnanthidium",0
1997-02-17,0,"Segmented Green",0
1997-02-17,0,"Gomphoneis",0
1997-02-17,0,"Gloeocapsa",0
1997-02-17,0,"Mallomonas",0
1997-02-17,0,"Cyclotella",0
1997-02-17,0,"Nitzschia",0
1997-02-17,0,"Synura",0
1997-02-17,0,"Discostella",0
1997-02-17,0,"Anabaena",0
1997-02-17,0,"Chroococcus",0
1997-02-17,0,"Planktolyngabia",0
1997-02-17,0,"Staurosira",0
1997-02-17,0,"Chroococcus cf. kidneys",0
1997-02-17,0,"Cosmarium",0
1997-02-17,0,"Planktothrix",0
1997-02-17,0,"Small Chroococcus",0
1997-02-17,0,"Long thin rod",0
1997-05-06,0,"Cf. Komvophoron / Trichormus",1408.442904
1997-05-06,0,"Cryptomonad",42366.0818
1997-05-06,0,"Cyclostephanos",94.247
1997-05-06,0,"Limnothrix",485.278306
1997-05-06,0,"Lindavia",565.4866775
1997-05-06,0,"Microcystis",852.2435868
1997-05-06,0,"Naked Dinoflagellate",301152.2216
1997-05-06,0,"Peanut",934.8361
1997-05-06,0,"TotalBiovolume",553601.7042
1997-05-06,0,"NA",0
1997-05-06,0,"Armored Dinoflagellate",180221.813
1997-05-06,0,"Cf. Planktolyngabia",6283.185308
1997-05-06,0,"Cocconeis",12669.29705
1997-05-06,0,"Rhoicosphenia",6568.57089
1997-05-06,0,"Diatoma mesodon",0
1997-05-06,0,"Dinobryon",0
1997-05-06,0,"Elakatothrix",0
1997-05-06,0,"Navicula",0
1997-05-06,0,"Sellaphora",0
1997-05-06,0,"Asterionella",0
1997-05-06,0,"Asterocapsa",0
1997-05-06,0,"Cyanobacteria",0
1997-05-06,0,"Fragilaria",0
1997-05-06,0,"Nostoc",0
1997-05-06,0,"Cf. Cavinula",0
1997-05-06,0,"Merismopedia",0
1997-05-06,0,"Diploneis",0
1997-05-06,0,"Encyonema",0
1997-05-06,0,"Planothidium",0
1997-05-06,0,"Cf. Coelosphaerium",0
1997-05-06,0,"Hippodonta",0
1997-05-06,0,"Epithemia",0
1997-05-06,0,"Euglena",0
1997-05-06,0,"Placoneis",0
1997-05-06,0,"Tetraedron victoriae",0
1997-05-06,0,"Flagellated Green",0
1997-05-06,0,"Aulacoseira",0
1997-05-06,0,"Pseudostaurosira",0
1997-05-06,0,"Stauroforma",0
1997-05-06,0,"Stephanodiscus",0
1997-05-06,0,"Tabellaria",0
1997-05-06,0,"Achnanthidium",0
1997-05-06,0,"Segmented Green",0
1997-05-06,0,"Gomphoneis",0
1997-05-06,0,"Gloeocapsa",0
1997-05-06,0,"Mallomonas",0
1997-05-06,0,"Cyclotella",0
1997-05-06,0,"Nitzschia",0
1997-05-06,0,"Synura",0
1997-05-06,0,"Discostella",0
1997-05-06,0,"Anabaena",0
1997-05-06,0,"Chroococcus",0
1997-05-06,0,"Planktolyngabia",0
1997-05-06,0,"Staurosira",0
1997-05-06,0,"Chroococcus cf. kidneys",0
1997-05-06,0,"Cosmarium",0
1997-05-06,0,"Planktothrix",0
1997-05-06,0,"Small Chroococcus",0
1997-05-06,0,"Long thin rod",0
1997-06-18,0,"Cf. Komvophoron / Trichormus",0
1997-06-18,0,"Cryptomonad",12690.301
1997-06-18,0,"Cyclostephanos",94.247
1997-06-18,0,"Limnothrix",45.142168
1997-06-18,0,"Lindavia",2035.752039
1997-06-18,0,"Microcystis",580.7882221
1997-06-18,0,"Naked Dinoflagellate",35017.70019
1997-06-18,0,"Peanut",0
1997-06-18,0,"TotalBiovolume",120852.7877
1997-06-18,0,"NA",0
1997-06-18,0,"Armored Dinoflagellate",7873.768528
1997-06-18,0,"Cf. Planktolyngabia",0
1997-06-18,0,"Cocconeis",2442.2741294
1997-06-18,0,"Rhoicosphenia",0
1997-06-18,0,"Diatoma mesodon",530.1437603
1997-06-18,0,"Dinobryon",58942.959
1997-06-18,0,"Elakatothrix",106.501969
1997-06-18,0,"Navicula",373.2096618
1997-06-18,0,"Sellaphora",120
1997-06-18,0,"Asterionella",0
1997-06-18,0,"Asterocapsa",0
1997-06-18,0,"Cyanobacteria",0
1997-06-18,0,"Fragilaria",0
1997-06-18,0,"Nostoc",0
1997-06-18,0,"Cf. Cavinula",0
1997-06-18,0,"Merismopedia",0
1997-06-18,0,"Diploneis",0
1997-06-18,0,"Encyonema",0
1997-06-18,0,"Planothidium",0
1997-06-18,0,"Cf. Coelosphaerium",0
1997-06-18,0,"Hippodonta",0
1997-06-18,0,"Epithemia",0
1997-06-18,0,"Euglena",0
1997-06-18,0,"Placoneis",0
1997-06-18,0,"Tetraedron victoriae",0
1997-06-18,0,"Flagellated Green",0
1997-06-18,0,"Aulacoseira",0
1997-06-18,0,"Pseudostaurosira",0
1997-06-18,0,"Stauroforma",0
1997-06-18,0,"Stephanodiscus",0
1997-06-18,0,"Tabellaria",0
1997-06-18,0,"Achnanthidium",0
1997-06-18,0,"Segmented Green",0
1997-06-18,0,"Gomphoneis",0
1997-06-18,0,"Gloeocapsa",0
1997-06-18,0,"Mallomonas",0
1997-06-18,0,"Cyclotella",0
1997-06-18,0,"Nitzschia",0
1997-06-18,0,"Synura",0
1997-06-18,0,"Discostella",0
1997-06-18,0,"Anabaena",0
1997-06-18,0,"Chroococcus",0
1997-06-18,0,"Planktolyngabia",0
1997-06-18,0,"Staurosira",0
1997-06-18,0,"Chroococcus cf. kidneys",0
1997-06-18,0,"Cosmarium",0
1997-06-18,0,"Planktothrix",0
1997-06-18,0,"Small Chroococcus",0
1997-06-18,0,"Long thin rod",0
1997-07-14,0,"Cf. Komvophoron / Trichormus",1809.457898
1997-07-14,0,"Cryptomonad",12104.5948
1997-07-14,0,"Cyclostephanos",0
1997-07-14,0,"Limnothrix",2307.893339
1997-07-14,0,"Lindavia",10039.54689
1997-07-14,0,"Microcystis",1707.643631
1997-07-14,0,"Naked Dinoflagellate",133067.2607
1997-07-14,0,"Peanut",0
1997-07-14,0,"TotalBiovolume",204417.0737
1997-07-14,0,"NA",0
1997-07-14,0,"Armored Dinoflagellate",6998.905358
1997-07-14,0,"Cf. Planktolyngabia",17907.07813
1997-07-14,0,"Cocconeis",0
1997-07-14,0,"Rhoicosphenia",0
1997-07-14,0,"Diatoma mesodon",0
1997-07-14,0,"Dinobryon",4136.348
1997-07-14,0,"Elakatothrix",93.513924
1997-07-14,0,"Navicula",186.6048309
1997-07-14,0,"Sellaphora",240
1997-07-14,0,"Asterionella",1636.760249
1997-07-14,0,"Asterocapsa",3879.43376
1997-07-14,0,"Cyanobacteria",7679.72216
1997-07-14,0,"Fragilaria",622.31
1997-07-14,0,"Nostoc",0
1997-07-14,0,"Cf. Cavinula",0
1997-07-14,0,"Merismopedia",0
1997-07-14,0,"Diploneis",0
1997-07-14,0,"Encyonema",0
1997-07-14,0,"Planothidium",0
1997-07-14,0,"Cf. Coelosphaerium",0
1997-07-14,0,"Hippodonta",0
1997-07-14,0,"Epithemia",0
1997-07-14,0,"Euglena",0
1997-07-14,0,"Placoneis",0
1997-07-14,0,"Tetraedron victoriae",0
1997-07-14,0,"Flagellated Green",0
1997-07-14,0,"Aulacoseira",0
1997-07-14,0,"Pseudostaurosira",0
1997-07-14,0,"Stauroforma",0
1997-07-14,0,"Stephanodiscus",0
1997-07-14,0,"Tabellaria",0
1997-07-14,0,"Achnanthidium",0
1997-07-14,0,"Segmented Green",0
1997-07-14,0,"Gomphoneis",0
1997-07-14,0,"Gloeocapsa",0
1997-07-14,0,"Mallomonas",0
1997-07-14,0,"Cyclotella",0
1997-07-14,0,"Nitzschia",0
1997-07-14,0,"Synura",0
1997-07-14,0,"Discostella",0
1997-07-14,0,"Anabaena",0
1997-07-14,0,"Chroococcus",0
1997-07-14,0,"Planktolyngabia",0
1997-07-14,0,"Staurosira",0
1997-07-14,0,"Chroococcus cf. kidneys",0
1997-07-14,0,"Cosmarium",0
1997-07-14,0,"Planktothrix",0
1997-07-14,0,"Small Chroococcus",0
1997-07-14,0,"Long thin rod",0
1997-08-28,0,"Cf. Komvophoron / Trichormus",1574.717414
1997-08-28,0,"Cryptomonad",11714.124
1997-08-28,0,"Cyclostephanos",94.247
1997-08-28,0,"Limnothrix",1201.910223
1997-08-28,0,"Lindavia",654.3322252
1997-08-28,0,"Microcystis",1508.786794
1997-08-28,0,"Naked Dinoflagellate",35017.70019
1997-08-28,0,"Peanut",169.9702
1997-08-28,0,"TotalBiovolume",74003.74465
1997-08-28,0,"NA",0
1997-08-28,0,"Armored Dinoflagellate",6124.042189
1997-08-28,0,"Cf. Planktolyngabia",4398.229716
1997-08-28,0,"Cocconeis",11295.51785
1997-08-28,0,"Rhoicosphenia",0
1997-08-28,0,"Diatoma mesodon",0
1997-08-28,0,"Dinobryon",0
1997-08-28,0,"Elakatothrix",54.549789
1997-08-28,0,"Navicula",0
1997-08-28,0,"Sellaphora",0
1997-08-28,0,"Asterionella",0
1997-08-28,0,"Asterocapsa",0
1997-08-28,0,"Cyanobacteria",0
1997-08-28,0,"Fragilaria",0
1997-08-28,0,"Nostoc",195.61707
1997-08-28,0,"Cf. Cavinula",0
1997-08-28,0,"Merismopedia",0
1997-08-28,0,"Diploneis",0
1997-08-28,0,"Encyonema",0
1997-08-28,0,"Planothidium",0
1997-08-28,0,"Cf. Coelosphaerium",0
1997-08-28,0,"Hippodonta",0
1997-08-28,0,"Epithemia",0
1997-08-28,0,"Euglena",0
1997-08-28,0,"Placoneis",0
1997-08-28,0,"Tetraedron victoriae",0
1997-08-28,0,"Flagellated Green",0
1997-08-28,0,"Aulacoseira",0
1997-08-28,0,"Pseudostaurosira",0
1997-08-28,0,"Stauroforma",0
1997-08-28,0,"Stephanodiscus",0
1997-08-28,0,"Tabellaria",0
1997-08-28,0,"Achnanthidium",0
1997-08-28,0,"Segmented Green",0
1997-08-28,0,"Gomphoneis",0
1997-08-28,0,"Gloeocapsa",0
1997-08-28,0,"Mallomonas",0
1997-08-28,0,"Cyclotella",0
1997-08-28,0,"Nitzschia",0
1997-08-28,0,"Synura",0
1997-08-28,0,"Discostella",0
1997-08-28,0,"Anabaena",0
1997-08-28,0,"Chroococcus",0
1997-08-28,0,"Planktolyngabia",0
1997-08-28,0,"Staurosira",0
1997-08-28,0,"Chroococcus cf. kidneys",0
1997-08-28,0,"Cosmarium",0
1997-08-28,0,"Planktothrix",0
1997-08-28,0,"Small Chroococcus",0
1997-08-28,0,"Long thin rod",0
1997-11-10,0,"Cf. Komvophoron / Trichormus",273.863898
1997-11-10,0,"Cryptomonad",18937.8338
1997-11-10,0,"Cyclostephanos",376.988
1997-11-10,0,"Limnothrix",823.844566
1997-11-10,0,"Lindavia",44.42277385
1997-11-10,0,"Microcystis",261.9859915
1997-11-10,0,"Naked Dinoflagellate",84042.48044
1997-11-10,0,"Peanut",0
1997-11-10,0,"TotalBiovolume",128833.4606
1997-11-10,0,"NA",0
1997-11-10,0,"Armored Dinoflagellate",10498.35804
1997-11-10,0,"Cf. Planktolyngabia",0
1997-11-10,0,"Cocconeis",0
1997-11-10,0,"Rhoicosphenia",0
1997-11-10,0,"Diatoma mesodon",0
1997-11-10,0,"Dinobryon",2068.174
1997-11-10,0,"Elakatothrix",5.195218
1997-11-10,0,"Navicula",0
1997-11-10,0,"Sellaphora",0
1997-11-10,0,"Asterionella",5455.867498
1997-11-10,0,"Asterocapsa",0
1997-11-10,0,"Cyanobacteria",4799.82635
1997-11-10,0,"Fragilaria",1244.62
1997-11-10,0,"Nostoc",0
1997-11-10,0,"Cf. Cavinula",0
1997-11-10,0,"Merismopedia",0
1997-11-10,0,"Diploneis",0
1997-11-10,0,"Encyonema",0
1997-11-10,0,"Planothidium",0
1997-11-10,0,"Cf. Coelosphaerium",0
1997-11-10,0,"Hippodonta",0
1997-11-10,0,"Epithemia",0
1997-11-10,0,"Euglena",0
1997-11-10,0,"Placoneis",0
1997-11-10,0,"Tetraedron victoriae",0
1997-11-10,0,"Flagellated Green",0
1997-11-10,0,"Aulacoseira",0
1997-11-10,0,"Pseudostaurosira",0
1997-11-10,0,"Stauroforma",0
1997-11-10,0,"Stephanodiscus",0
1997-11-10,0,"Tabellaria",0
1997-11-10,0,"Achnanthidium",0
1997-11-10,0,"Segmented Green",0
1997-11-10,0,"Gomphoneis",0
1997-11-10,0,"Gloeocapsa",0
1997-11-10,0,"Mallomonas",0
1997-11-10,0,"Cyclotella",0
1997-11-10,0,"Nitzschia",0
1997-11-10,0,"Synura",0
1997-11-10,0,"Discostella",0
1997-11-10,0,"Anabaena",0
1997-11-10,0,"Chroococcus",0
1997-11-10,0,"Planktolyngabia",0
1997-11-10,0,"Staurosira",0
1997-11-10,0,"Chroococcus cf. kidneys",0
1997-11-10,0,"Cosmarium",0
1997-11-10,0,"Planktothrix",0
1997-11-10,0,"Small Chroococcus",0
1997-11-10,0,"Long thin rod",0
1998-02-23,0,"Cf. Komvophoron / Trichormus",3012.5028785
1998-02-23,0,"Cryptomonad",14642.655
1998-02-23,0,"Cyclostephanos",94.247
1998-02-23,0,"Limnothrix",8588.297462
1998-02-23,0,"Lindavia",44.42277385
1998-02-23,0,"Microcystis",3150.144814
1998-02-23,0,"Naked Dinoflagellate",126063.7207
1998-02-23,0,"Peanut",0
1998-02-23,0,"TotalBiovolume",189107.2736
1998-02-23,0,"NA",0
1998-02-23,0,"Armored Dinoflagellate",18372.12657
1998-02-23,0,"Cf. Planktolyngabia",1570.796327
1998-02-23,0,"Cocconeis",0
1998-02-23,0,"Rhoicosphenia",0
1998-02-23,0,"Diatoma mesodon",0
1998-02-23,0,"Dinobryon",2068.174
1998-02-23,0,"Elakatothrix",5.195218
1998-02-23,0,"Navicula",0
1998-02-23,0,"Sellaphora",0
1998-02-23,0,"Asterionella",0
1998-02-23,0,"Asterocapsa",0
1998-02-23,0,"Cyanobacteria",4887.09592
1998-02-23,0,"Fragilaria",5911.945
1998-02-23,0,"Nostoc",0
1998-02-23,0,"Cf. Cavinula",131.95
1998-02-23,0,"Merismopedia",564
1998-02-23,0,"Diploneis",0
1998-02-23,0,"Encyonema",0
1998-02-23,0,"Planothidium",0
1998-02-23,0,"Cf. Coelosphaerium",0
1998-02-23,0,"Hippodonta",0
1998-02-23,0,"Epithemia",0
1998-02-23,0,"Euglena",0
1998-02-23,0,"Placoneis",0
1998-02-23,0,"Tetraedron victoriae",0
1998-02-23,0,"Flagellated Green",0
1998-02-23,0,"Aulacoseira",0
