"","sampledate","wtemp","o2","o2sat","cond","frlight","chlor.int","phaeo","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","cl","so4","ca","mg","na","k","fe","mn","year4frac","year","chlor.surf","avsnow","totice","whiteice","blueice","light","CellBioVol","ice.off","ice.on","iceduration","ice.pres","log.cbv"
"17",1997-05-06,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,553601.7042,"1997-04-28","1997-12-22",154,0,13.2242007616768
"18",1997-06-18,12.01,9.89,97.31,NA,0.21,2.37,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1997.46,1997,1,0,0,0,0,604.8,120852.7877,"1997-04-28","1997-12-22",154,0,11.7023284533046
"19",1997-08-28,15.01,8.79,94.05,87.86,0.23,1.22,4.5,7.43,7.97,622.46,8.43,8.54,3.51,3.58,0.39,NA,45.83,104.83,153.21,3,10.08,2557.02,2534.82,2695.42,0.15,5.03,2.52,10.13,2.8,2.45,0.7,0.15,0.02,1997.655,1997,0.5,0,0,0,0,214.1,74003.74465,"1997-04-28","1997-12-22",154,0,11.2118709742844
"20",1997-11-10,7.08,9.49,83.16,88.62,0.12,2,4.72,7.38,7.98,638.89,8.59,8.72,3.3,3.42,2.13,NA,24.03,43.49,47.3,3.49,9,2712.31,2521.43,2508.57,0.09,4.99,2.44,10.19,2.88,2.52,0.67,0.01,0,1997.858,1997,1.8,0,0,0,0,105.6,128833.4606,"1997-04-28","1997-12-22",154,0,11.7662758461806
"21",1998-04-20,6.46,11.74,101.29,88,0.15,NA,NA,7.47,7.98,619.5,8.45,8.64,3.23,3.04,9.3,NA,10.44,241.68,279.28,6.34,9.63,2623.2,2448.65,2448.17,0.1,5.23,2.55,9.78,2.83,2.47,0.67,0,0,1998.299,1998,NA,0,0,0,0,1083,181669.4978,"1998-04-08","1998-12-22",107,0,12.109944369076
"22",1998-06-15,12.86,10.29,103.9,NA,0.25,3.73,0.8,7.57,8.19,NA,8.16,8.48,3.33,3.47,1.24,NA,16.77,183.04,227.7,2.92,7.44,2468.03,2643.55,2655.26,0.14,NA,NA,NA,NA,NA,NA,0.07,0.01,1998.452,1998,0.9,0,0,0,0,1118,167909.7456,"1998-04-08","1998-12-22",107,0,12.031181885455
"23",1998-08-12,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,1998.611,1998,1,0,0,0,0,707,193824.5166,"1998-04-08","1998-12-22",107,0,12.1747084750817
"24",1998-11-12,7.3,9.21,81.12,92.62,0.11,4.01,0.87,7.34,7.76,660.38,9.11,9.17,3.56,3.62,2,NA,28.99,203.29,227.85,5.49,11.87,2859.71,2619.63,2632,0.14,5.46,2.23,9.87,2.87,2.44,0.69,0.11,0,1998.863,1998,3.9,0,0,0,0,464.2,147520.6467,"1998-04-08","1998-12-22",107,0,11.9017234225932
"25",1999-05-04,7.66,13.28,117.91,91.74,0.23,4.69,0.08,7.8,8.05,647.96,8.53,8.72,2.91,2.83,6.94,NA,18.03,147.66,174.61,4.97,14.09,2862.44,2715.75,2720.24,0,5.28,2,10.68,3.01,2.57,0.73,0.04,0.02,1999.337,1999,3.3,0,0,0,0,1104,227305.348,"1999-04-15","1999-12-17",114,0,12.3340495379404
"26",1999-07-01,14.01,9.63,98.66,NA,0.22,2.72,1.48,7.59,8.18,NA,8.87,8.93,3.31,3.28,1.22,NA,45.69,189.97,224.61,5.24,10.31,2722.64,2800.29,2829.87,0,NA,NA,NA,NA,NA,NA,0.23,0.02,1999.496,1999,1.3,0,0,0,0,1354.3,74952.73654,"1999-04-15","1999-12-17",114,0,11.2246130144052
