lakeid,year4,sampledate,extcoef
SP,1981,1981-06-16,
SP,1981,1981-07-16,0.329
SP,1981,1981-08-11,0.342
SP,1981,1981-09-15,0.334
SP,1981,1981-10-19,0.323
SP,1982,1982-01-20,
SP,1982,1982-04-05,
SP,1982,1982-05-27,
SP,1982,1982-06-23,
SP,1982,1982-07-20,
SP,1982,1982-08-17,0.343
SP,1982,1982-09-20,
SP,1982,1982-10-19,0.269
SP,1982,1982-12-02,0.328
SP,1983,1983-02-24,
SP,1983,1983-05-11,0.466
SP,1983,1983-06-09,0.429
SP,1983,1983-07-08,0.364
SP,1983,1983-08-01,0.330
SP,1983,1983-09-06,
SP,1983,1983-10-17,0.334
SP,1983,1983-11-15,0.436
SP,1984,1984-01-06,
SP,1984,1984-04-10,
SP,1984,1984-05-09,
SP,1984,1984-06-04,0.400
SP,1984,1984-07-05,
SP,1984,1984-07-31,0.292
SP,1984,1984-09-05,0.321
SP,1984,1984-10-17,0.320
SP,1984,1984-11-26,0.418
SP,1985,1985-02-27,0.272
SP,1985,1985-04-11,
SP,1985,1985-05-15,0.357
SP,1985,1985-06-10,0.329
SP,1985,1985-07-10,0.308
SP,1985,1985-08-05,0.327
SP,1985,1985-09-10,0.336
SP,1985,1985-10-23,0.278
SP,1986,1986-01-14,0.507
SP,1986,1986-04-24,0.482
SP,1986,1986-05-19,0.438
SP,1986,1986-06-16,0.350
SP,1986,1986-07-14,0.284
SP,1986,1986-08-11,0.349
SP,1986,1986-09-08,0.318
SP,1986,1986-10-07,0.362
SP,1986,1986-11-12,0.531
SP,1987,1987-02-24,0.352
SP,1987,1987-04-20,0.372
SP,1987,1987-05-20,0.295
SP,1987,1987-06-11,0.245
SP,1987,1987-07-13,0.350
SP,1987,1987-08-11,0.320
SP,1987,1987-09-08,0.244
SP,1987,1987-10-05,0.294
SP,1987,1987-11-02,0.546
SP,1988,1988-01-19,
SP,1988,1988-04-04,0.271
SP,1988,1988-05-09,0.318
SP,1988,1988-06-06,0.281
SP,1988,1988-07-05,0.299
SP,1988,1988-08-01,0.271
SP,1988,1988-08-29,0.265
SP,1988,1988-09-27,0.280
SP,1988,1988-10-24,0.346
SP,1989,1989-01-12,
SP,1989,1989-03-29,0.218
SP,1989,1989-05-17,0.365
SP,1989,1989-06-13,0.254
SP,1989,1989-07-10,0.350
SP,1989,1989-08-08,0.342
SP,1989,1989-09-05,0.333
SP,1989,1989-10-02,0.221
SP,1989,1989-11-01,0.331
SP,1990,1990-01-17,
SP,1990,1990-03-28,
SP,1990,1990-05-15,0.299
SP,1990,1990-06-14,0.395
SP,1990,1990-07-10,0.299
SP,1990,1990-08-07,0.321
SP,1990,1990-09-04,0.275
SP,1990,1990-10-02,0.338
SP,1990,1990-10-31,0.565
SP,1991,1991-01-16,
SP,1991,1991-03-25,0.300
SP,1991,1991-05-22,0.289
SP,1991,1991-06-19,0.363
SP,1991,1991-07-16,0.366
SP,1991,1991-08-12,0.353
SP,1991,1991-09-09,0.309
SP,1991,1991-10-07,0.363
SP,1992,1992-01-14,0.388
SP,1992,1992-03-27,0.300
SP,1992,1992-05-19,0.419
SP,1992,1992-06-15,0.321
SP,1992,1992-07-14,0.372
SP,1992,1992-08-11,0.306
SP,1992,1992-09-08,
SP,1992,1992-10-05,
SP,1992,1992-11-09,0.596
SP,1993,1993-03-01,
SP,1993,1993-05-04,
SP,1993,1993-06-01,0.390
SP,1993,1993-06-30,0.293
SP,1993,1993-07-27,0.365
SP,1993,1993-08-23,
SP,1993,1993-09-23,0.355
SP,1993,1993-10-18,0.292
SP,1994,1994-01-12,0.566
SP,1994,1994-03-28,
SP,1994,1994-05-16,0.453
SP,1994,1994-06-15,
SP,1994,1994-07-12,
SP,1994,1994-08-09,0.381
SP,1994,1994-09-06,0.283
SP,1994,1994-10-03,0.341
SP,1994,1994-11-01,0.489
SP,1995,1995-01-09,0.620
SP,1995,1995-03-24,0.249
SP,1995,1995-05-15,
SP,1995,1995-06-14,0.351
SP,1995,1995-07-11,0.342
SP,1995,1995-08-07,0.312
SP,1995,1995-09-06,0.280
SP,1995,1995-10-03,
SP,1995,1995-10-31,0.389
SP,1996,1996-01-24,0.855
SP,1996,1996-04-01,
SP,1996,1996-05-29,0.447
SP,1996,1996-06-26,0.345
SP,1996,1996-07-25,0.351
SP,1996,1996-08-20,0.365
SP,1996,1996-09-18,0.389
SP,1996,1996-10-15,
SP,1997,1997-01-14,
SP,1997,1997-03-25,
SP,1997,1997-05-21,0.432
SP,1997,1997-06-18,0.350
SP,1997,1997-07-17,
SP,1997,1997-08-13,
SP,1997,1997-09-09,0.318
SP,1997,1997-10-07,0.300
SP,1997,1997-11-10,0.544
SP,1998,1998-02-23,0.359
SP,1998,1998-04-20,0.490
SP,1998,1998-05-19,0.370
SP,1998,1998-06-15,0.344
SP,1998,1998-07-14,0.332
SP,1998,1998-08-12,0.319
SP,1998,1998-09-09,0.330
SP,1998,1998-10-06,0.312
SP,1998,1998-11-12,0.769
SP,1999,1999-02-23,
SP,1999,1999-05-04,0.326
SP,1999,1999-06-02,0.301
SP,1999,1999-07-01,0.279
SP,1999,1999-07-28,0.320
SP,1999,1999-08-23,0.245
SP,1999,1999-09-23,0.374
SP,1999,1999-10-19,0.319
SP,2000,2000-01-18,
SP,2000,2000-04-06,0.494
SP,2000,2000-05-02,0.352
SP,2000,2000-05-30,0.282
SP,2000,2000-06-27,0.277
SP,2000,2000-07-26,0.312
SP,2000,2000-08-21,0.347
SP,2000,2000-09-18,0.335
SP,2000,2000-10-17,0.284
SP,2000,2000-11-16,0.361
SP,2001,2001-02-28,0.212
SP,2001,2001-04-30,0.417
SP,2001,2001-05-29,0.315
SP,2001,2001-06-26,0.280
SP,2001,2001-07-24,0.279
SP,2001,2001-08-20,0.264
SP,2001,2001-09-18,0.242
SP,2001,2001-10-15,0.236
SP,2001,2001-11-15,0.346
SP,2002,2002-02-28,0.267
SP,2002,2002-04-23,0.365
SP,2002,2002-05-22,
SP,2002,2002-06-19,0.308
SP,2002,2002-07-17,0.311
SP,2002,2002-08-14,0.333
SP,2002,2002-09-12,0.334
SP,2002,2002-10-09,0.257
SP,2002,2002-11-07,0.461
SP,2003,2003-03-06,0.238
SP,2003,2003-04-29,0.360
SP,2003,2003-05-30,
SP,2003,2003-06-23,0.290
SP,2003,2003-07-21,0.296
SP,2003,2003-08-20,0.260
SP,2003,2003-09-16,0.330
SP,2003,2003-10-14,
SP,2003,2003-11-13,0.553
SP,2004,2004-02-18,
SP,2004,2004-04-30,
SP,2004,2004-05-24,0.382
SP,2004,2004-06-22,0.320
SP,2004,2004-07-21,0.304
SP,2004,2004-08-16,0.300
