sampledate,wtemp,o2,o2sat,cond,frlight,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,year4frac,year,chlor.surf,avsnow,totice,whiteice,blueice,frlight,light,ice.off,ice.on,iceduration,ice.pres,Genus,CellBioVol,one.cbv,log.cbv,int.cbv,oneint.cbv,logint.cbv
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,NA,4/28/97,12/22/97,154,1,Limnothrix,38415.98497,38416.98497,10.55625496,38415,38416,10
2/17/97,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,1997.129,1997,0.9,24.5,40,26,14,NA,NA,4/28/97,12/22/97,154,1,Limnothrix,1292.194559,1293.194559,7.164870838,1292,1293,7
2/23/98,3.27,10.96,86.88,93.13,0.24,2.15,0.44,7.29,7.85,670.14,10.67,9.49,3.41,3.18,73.52,NA,160.66,389.01,352.29,6.29,14.57,3158.98,3023.56,2938.36,0,5.06,2.49,10.16,2.85,2.45,0.7,0.75,0.15,1998.145,1998,0.7,0,35,11,24,0.24,148,4/8/98,12/22/98,107,1,Limnothrix,8588.297462,8589.297462,9.058272226,8588,8589,9
2/23/99,2.36,10.07,77.63,97.08,0.13,0.92,0.77,7.21,8,709.51,9.19,9.24,3.19,2.95,52.09,NA,152.91,516.18,662.08,5.67,16.35,3364.29,3493.32,3414.83,0,6.13,2.1,11.18,3.15,2.74,0.82,0.88,0.12,1999.145,1999,5.1,9,41,14,27,0.13,9.66,4/15/99,12/17/99,114,1,Limnothrix,919.771673,920.771673,6.825212093,919,920,6
2/22/00,2.72,10.79,84.13,98.94,0.16,1.91,1.29,7.28,8.02,683.22,9.59,9.62,3.2,2.94,8.89,NA,196.28,395.04,440.31,8.81,13.58,3352.77,2989.71,3596.32,0,6.31,1.91,11.02,3.2,2.72,0.73,1.05,0.11,2000.142,2000,4.3,27.6,36,2,34,0.16,2.65,4/2/00,12/4/00,107,1,Limnothrix,0,1,0,0,1,0
2/28/01,3.08,9.02,70.87,96.66,0.44,0.78,0.22,7.23,7.94,683.7,9.04,9.1,3.02,2.71,38.97,NA,147.17,395.09,421.98,4.64,14.62,3332.01,3125.07,3201.73,0,6.23,2.08,10.76,3.07,2.73,0.7,0.81,0.17,2001.159,2001,1.9,15.7,44,23,21,0.44,5.93,4/22/01,12/26/01,139,1,Limnothrix,0,1,0,0,1,0
2/28/02,2.6,11.49,89.19,98.76,0.28,0.15,0.4,7.31,7.84,671.38,8.89,8.9,3.17,3.06,47.52,NA,39.67,401.67,421.49,3.9,5.47,3220.66,3275.79,3337.26,0,6.21,2.73,10.73,3.06,2.4,0.69,0.04,0.03,2002.159,2002,0.1,1.6,38,11,27,0.28,35.5,4/17/02,11/27/02,112,1,Limnothrix,28.213855,29.213855,3.374643083,28,29,3
3/6/03,3.46,8.97,71.24,102.34,0.35,2.4,0.84,7.23,7.86,703.52,10.12,10.26,3.76,3.71,51.35,NA,115.6,355.54,361.53,5.4,10.66,3087.46,3204.71,3340.83,0,7.09,2.41,11.12,3.12,2.72,0.73,0.07,0.06,2003.175,2003,9,17.5,61,0,61,0.35,13.97,4/24/03,12/3/03,148,1,Limnothrix,180.568672,181.568672,5.20163394,180,181,5
2/18/04,3.01,9.8,77.07,103.45,1,1.4,0.65,7.22,7.91,701.14,10.46,10.4,3.42,3.21,59.75,NA,171.05,484.44,549.73,6.15,15.86,3459.48,NA,NA,0,6.06,2.14,12.54,3.47,2.99,0.7,1.41,0.22,2004.131,2004,NA,29.7,42,7,35,1,0,4/16/04,12/17/04,135,1,Limnothrix,880.2723,881.2723,6.781366659,880,881,6
2/13/06,3.42,9.64,76.45,104.07,0.68,1.66,0.29,7.26,7.85,738.98,3.04,3.03,11.44,10.18,6.18,NA,208.29,334.31,472.25,14.56,20.51,3739.28,NA,NA,0,7.26,2.43,11.65,3.33,2.95,0.71,1.54,0.09,2006.118,2006,3.7,23.6,33,12,21,0.68,17.43,4/13/06,12/23/06,131,1,Limnothrix,73.35602,74.35602,4.308864638,73,74,4
2/20/07,3.36,10.41,82.39,109.86,0.27,1.97,0.72,7.29,7.88,727.82,9.06,9.31,2.74,2.66,101.98,NA,27.54,270.61,296.72,3.52,6.8,3948.59,NA,NA,0,7.49,2.52,11.86,3.39,3.19,0.77,0.03,0.04,2007.137,2007,3.6,8.7,42,5,37,0.27,25.11,4/13/07,12/3/07,111,1,Limnothrix,50.78494,51.78494,3.947099373,50,51,3
3/3/08,3.19,9.9,77.87,111.93,0,0.55,0.48,7.16,7.82,756.16,10.03,9.84,3.04,2.98,93.84,NA,37.56,285.61,299.54,4.56,7.1,3418.21,NA,NA,0,8.2,2.38,12.21,3.4,3.18,0.74,0.01,0.02,2008.169,2008,2.4,18.9,48,13,35,0,19.11,5/1/08,12/4/08,150,1,Limnothrix,33.85663,34.85663,3.551243363,33,34,3
2/24/09,2.87,10.39,81.18,119.64,0.02,3.18,0.67,7.29,7.61,829.75,12.05,11.66,3.17,1.65,33.45,NA,401.42,392.89,563.78,36.65,47.11,3520.96,NA,NA,0,7.65,2.31,14.02,3.83,3.53,0.83,4.62,0.22,2009.148,2009,2.9,3.6,55,9,46,0.02,46.38,4/22/09,12/11/09,139,1,Limnothrix,282.1386,283.1386,5.64593653,282,283,5
