sampledate,wtemp,o2,o2sat,cond,frlight,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,year4frac,year,chlor.surf,avsnow,totice,whiteice,blueice,light,ice.off,ice.on,ice.pres,Genus,CellBioVol,log.cbv,one.cbv,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Limnothrix,38415.98497,10.55625496,38416.98497,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Microcystis,5776.317644,8.661694779,5777.317644,,58814.83929,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Peanut,3994.2997,8.292873874,3995.2997,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Lindavia,113.0973355,4.737051904,114.0973355,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,NA,1104.760206,7.008288347,1105.760206,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Cyclostephanos,188.494,5.244357362,189.494,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Naked Dinoflagellate,7003.540037,8.854313795,7004.540037,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Cryptomonad,976.177,6.884667802,977.177,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Cf. Komvophoron / Trichormus,1242.168395,7.125418557,1243.168395,,,
1/14/97,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,1997.036,1997,1.3,11,37,26,11,NA,4/28/97,12/22/97,1,Total,58814.83928,10.98216647,58815.83928,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/97,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,1997.129,1997,0.9,24.5,40,26,14,NA,4/28/97,12/22/97,1,Limnothrix,1292.194559,7.164870838,1293.194559,,1720.185234,
2/17/97,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,1997.129,1997,0.9,24.5,40,26,14,NA,4/28/97,12/22/97,1,Microcystis,369.3055543,5.914328487,370.3055543,,,
2/17/97,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,1997.129,1997,0.9,24.5,40,26,14,NA,4/28/97,12/22/97,1,Cf. Komvophoron / Trichormus,58.685121,4.08908276,59.685121,,,
2/17/97,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,1997.129,1997,0.9,24.5,40,26,14,NA,4/28/97,12/22/97,1,Total,1720.185234,7.450768422,1721.185234,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Limnothrix,485.278306,6.186781106,486.278306,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Microcystis,852.2435868,6.749045072,853.2435868,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Cf. Komvophoron / Trichormus,1408.442904,7.250949802,1409.442904,,553601.7042,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Cf. Planktolyngabia,6283.185308,8.745791488,6284.185308,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Cocconeis,12669.29705,9.447015718,12670.29705,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Peanut,934.8361,6.841440354,935.8361,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Rhoicosphenia,6568.57089,8.790203796,6569.57089,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Lindavia,565.4866775,6.339453563,566.4866775,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Cyclostephanos,94.247,4.556473517,95.247,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Cryptomonad,42366.0818,10.65412697,42367.0818,,,
5/6/97,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,1997.342,1997,7.3,0,0,0,0,1275,4/28/97,12/22/97,0,Naked Dinoflagellate,301152.2216,12.61537446,301153.2216,,,
