lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice,iceduration 
SP,1,1981,,,,,342,12/8/81,345,12/11/81,
SP,1,1982,123,5/3/82,124,5/4/82,337,12/3/82,341,12/7/82,143
SP,1,1983,119,4/29/83,120,4/30/83,336,12/2/83,337,12/3/83,143
SP,1,1984,111,4/20/84,112,4/21/84,338,12/3/84,339,12/4/84,139
SP,1,1985,111,4/21/85,112,4/22/85,328,11/24/85,329,11/25/85,138
SP,1,1986,101,4/11/86,102,4/12/86,332,11/28/86,335,12/1/86,137
SP,1,1987,100,4/10/87,102,4/12/87,336,12/2/87,337,12/3/87,130
SP,1,1988,104,4/13/88,105,4/14/88,335,11/30/88,336,12/1/88,132
SP,1,1989,114,4/24/89,116,4/26/89,328,11/24/89,331,11/27/89,144
SP,1,1990,106,4/16/90,107,4/17/90,334,11/30/90,337,12/3/90,140
SP,1,1991,109,4/19/91,112,4/22/91,331,11/27/91,333,11/29/91,137
SP,1,1992,121,4/30/92,122,5/1/92,332,11/27/92,335,11/30/92,153
SP,1,1993,120,4/30/93,122,5/2/93,328,11/24/93,334,11/30/93,151
SP,1,1994,111,4/21/94,112,4/22/94,341,12/7/94,343,12/9/94,142
SP,1,1995,114,4/24/95,115,4/25/95,326,11/22/95,328,11/24/95,136
SP,1,1996,131,5/10/96,133,5/12/96,327,11/22/96,330,11/25/96,168
SP,1,1997,118,4/28/97,119,4/29/97,354,12/20/97,356,12/22/97,154
SP,1,1998,98,4/8/98,99,4/9/98,355,12/21/98,356,12/22/98,107
SP,1,1999,105,4/15/99,106,4/16/99,350,12/16/99,351,12/17/99,114
SP,1,2000,93,4/2/00,94,4/3/00,336,12/1/00,339,12/4/00,107
SP,1,2001,112,4/22/01,113,4/23/01,358,12/24/01,360,12/26/01,139
SP,1,2002,107,4/17/02,109,4/19/02,329,11/25/02,331,11/27/02,112
SP,1,2003,114,4/24/03,115,4/25/03,335,12/1/03,337,12/3/03,148
SP,1,2004,107,4/16/04,110,4/19/04,351,12/16/04,352,12/17/04,135
SP,1,2005,104,4/14/05,105,4/15/05,336,12/2/05,337,12/3/05,118
SP,1,2006,103,4/13/06,104,4/14/06,356,12/22/06,357,12/23/06,131
SP,1,2007,103,4/13/07,106,4/16/07,334,11/30/07,337,12/3/07,111
SP,1,2008,122,5/1/08,123,5/2/08,338,12/3/08,339,12/4/08,150
SP,1,2009,112,4/22/09,113,4/23/09,344,12/10/09,345,12/11/09,139
SP,1,2010,89,3/30/10,90,3/31/10,340,12/6/10,341,12/7/10,109
SP,1,2011,115,4/25/11,116,4/26/11,340,12/5/11,341,12/6/11,139
SP,1,2012,79,3/19/12,80,3/20/12,345,12/10/12,346,12/11/12,103
SP,1,2013,129,5/9/13,130,5/10/13,331,11/27/13,333,11/27/13,149
SP,1,2014,127,5/8/14,128,5/9/14,324,11/20/14,325,11/21/14,159
SP,1,2015,104,4/14/15,105,4/15/15,359,12/25/15,362,12/28/15,144
SP,1,2016,107,4/16/16,109,4/18/16,345,12/10/16,347,12/12/16,110
SP,1,2017,97,4/7/17,99,4/9/17,341,12/7/17,345,12/11/17,116
SP,1,2018,124,5/4/18,125,5/5/18,,,,,144
TB,1,1981,,,,,314,11/10/81,328,11/24/81,
TB,1,1982,121,5/1/82,123,5/3/82,315,11/11/82,326,11/22/82,
TB,1,1983,117,4/27/83,118,4/28/83,315,11/11/83,318,11/14/83,
TB,1,1984,109,4/18/84,110,4/19/84,313,11/8/84,317,11/12/84,
TB,1,1985,112,4/22/85,113,4/23/85,316,11/12/85,318,11/14/85,
TB,1,1986,100,4/10/86,104,4/14/86,314,11/10/86,315,11/11/86,
TB,1,1987,100,4/10/87,102,4/12/87,324,11/20/87,327,11/23/87,
TB,1,1988,104,4/13/88,106,4/15/88,319,11/14/88,323,11/18/88,
TB,1,1989,114,4/24/89,116,4/26/89,317,11/13/89,318,11/14/89,
TB,1,1990,110,4/20/90,113,4/23/90,327,11/23/90,330,11/26/90,
TB,1,1991,108,4/18/91,109,4/19/91,305,11/1/91,308,11/4/91,
TB,1,1992,119,4/28/92,120,4/29/92,316,11/11/92,318,11/13/92,
TB,1,1993,116,4/26/93,118,4/28/93,309,11/5/93,312,11/8/93,
TB,1,1994,108,4/18/94,110,4/20/94,327,11/23/94,330,11/26/94,
TB,1,1995,115,4/25/95,117,4/27/95,311,11/7/95,313,11/9/95,
TB,1,1996,129,5/8/96,130,5/9/96,314,11/9/96,316,11/11/96,
TB,1,1997,118,4/28/97,119,4/29/97,316,11/12/97,317,11/13/97,
TB,1,1998,100,4/10/98,101,4/11/98,341,12/7/98,342,12/8/98,
TB,1,1999,104,4/14/99,105,4/15/99,328,11/24/99,331,11/27/99,
TB,1,2000,94,4/3/00,95,4/4/00,322,11/17/00,325,11/20/00,
TB,1,2001,110,4/20/01,113,4/23/01,340,12/6/01,341,12/7/01,
TB,1,2002,112,4/22/02,114,4/24/02,317,11/13/02,318,11/14/02,
TB,1,2003,112,4/22/03,113,4/23/03,311,11/7/03,314,11/10/03,
TB,1,2004,110,4/19/04,112,4/21/04,328,11/23/04,329,11/24/04,
TB,1,2005,103,4/13/05,105,4/15/05,325,11/21/05,326,11/22/05,
TB,1,2006,102,4/12/06,103,4/13/06,333,11/29/06,334,11/30/06,
TB,1,2007,106,4/16/07,108,4/18/07,319,11/15/07,320,11/16/07,
TB,1,2008,120,4/29/08,121,4/30/08,322,11/17/08,324,11/19/08,
TB,1,2009,110,4/20/09,112,4/22/09,334,11/30/09,335,12/1/09,
TB,1,2010,88,3/29/10,90,3/31/10,327,11/23/10,331,11/27/10,
