lakeid,year4,sampledate,extcoef
SP,1981,06/16/81,
SP,1981,07/16/81,0.329
SP,1981,08/11/81,0.342
SP,1981,09/15/81,0.334
SP,1981,10/19/81,0.323
SP,1982,01/20/82,
SP,1982,04/05/82,
SP,1982,05/27/82,
SP,1982,06/23/82,
SP,1982,07/20/82,
SP,1982,08/17/82,0.343
SP,1982,09/20/82,
SP,1982,10/19/82,0.269
SP,1982,12/02/82,0.328
SP,1983,02/24/83,
SP,1983,05/11/83,0.466
SP,1983,06/09/83,0.429
SP,1983,07/08/83,0.364
SP,1983,08/01/83,0.33
SP,1983,09/06/83,
SP,1983,10/17/83,0.334
SP,1983,11/15/83,0.436
SP,1984,01/06/84,
SP,1984,04/10/84,
SP,1984,05/09/84,
SP,1984,06/04/84,0.4
SP,1984,07/05/84,
SP,1984,07/31/84,0.292
SP,1984,09/05/84,0.321
SP,1984,10/17/84,0.32
SP,1984,11/26/84,0.418
SP,1985,02/27/85,0.272
SP,1985,04/11/85,
SP,1985,05/15/85,0.357
SP,1985,06/10/85,0.329
SP,1985,07/10/85,0.308
SP,1985,08/05/85,0.327
SP,1985,09/10/85,0.336
SP,1985,10/23/85,0.278
SP,1986,01/14/86,0.507
SP,1986,04/24/86,0.482
SP,1986,05/19/86,0.438
SP,1986,06/16/86,0.35
SP,1986,07/14/86,0.284
SP,1986,08/11/86,0.349
SP,1986,09/08/86,0.318
SP,1986,10/07/86,0.362
SP,1986,11/12/86,0.531
SP,1987,02/24/87,0.352
SP,1987,04/20/87,0.372
SP,1987,05/20/87,0.295
SP,1987,06/11/87,0.245
SP,1987,07/13/87,0.35
SP,1987,08/11/87,0.32
SP,1987,09/08/87,0.244
SP,1987,10/05/87,0.294
SP,1987,11/02/87,0.546
SP,1988,01/19/88,
SP,1988,04/04/88,0.271
SP,1988,05/09/88,0.318
SP,1988,06/06/88,0.281
SP,1988,07/05/88,0.299
SP,1988,08/01/88,0.271
SP,1988,08/29/88,0.265
SP,1988,09/27/88,0.28
SP,1988,10/24/88,0.346
SP,1989,01/12/89,
SP,1989,03/29/89,0.218
SP,1989,05/17/89,0.365
SP,1989,06/13/89,0.254
SP,1989,07/10/89,0.35
SP,1989,08/08/89,0.342
SP,1989,09/05/89,0.333
SP,1989,10/02/89,0.221
SP,1989,11/01/89,0.331
SP,1990,01/17/90,
SP,1990,03/28/90,
SP,1990,05/15/90,0.299
SP,1990,06/14/90,0.395
SP,1990,07/10/90,0.299
SP,1990,08/07/90,0.321
SP,1990,09/04/90,0.275
SP,1990,10/02/90,0.338
SP,1990,10/31/90,0.565
SP,1991,01/16/91,
SP,1991,03/25/91,0.3
SP,1991,05/22/91,0.289
SP,1991,06/19/91,0.363
SP,1991,07/16/91,0.366
SP,1991,08/12/91,0.353
SP,1991,09/09/91,0.309
SP,1991,10/07/91,0.363
SP,1992,01/14/92,0.388
SP,1992,03/27/92,0.3
SP,1992,05/19/92,0.419
SP,1992,06/15/92,0.321
SP,1992,07/14/92,0.372
SP,1992,08/11/92,0.306
SP,1992,09/08/92,
SP,1992,10/05/92,
SP,1992,11/09/92,0.596
SP,1993,03/01/93,
SP,1993,05/04/93,
SP,1993,06/01/93,0.39
SP,1993,06/30/93,0.293
SP,1993,07/27/93,0.365
SP,1993,08/23/93,
SP,1993,09/23/93,0.355
SP,1993,10/18/93,0.292
SP,1994,01/12/94,0.566
SP,1994,03/28/94,
SP,1994,05/16/94,0.453
SP,1994,06/15/94,
SP,1994,07/12/94,
SP,1994,08/09/94,0.381
SP,1994,09/06/94,0.283
SP,1994,10/03/94,0.341
SP,1994,11/01/94,0.489
SP,1995,01/09/95,0.62
SP,1995,03/24/95,0.249
SP,1995,05/15/95,
SP,1995,06/14/95,0.351
SP,1995,07/11/95,0.342
SP,1995,08/07/95,0.312
SP,1995,09/06/95,0.28
SP,1995,10/03/95,
SP,1995,10/31/95,0.389
SP,1996,01/24/96,0.855
SP,1996,04/01/96,
SP,1996,05/29/96,0.447
SP,1996,06/26/96,0.345
SP,1996,07/25/96,0.351
SP,1996,08/20/96,0.365
SP,1996,09/18/96,0.389
SP,1996,10/15/96,
SP,1997,01/14/97,
SP,1997,03/25/97,
SP,1997,05/21/97,0.432
SP,1997,06/18/97,0.35
SP,1997,07/17/97,
SP,1997,08/13/97,
SP,1997,09/09/97,0.318
SP,1997,10/07/97,0.3
SP,1997,11/10/97,0.544
SP,1998,02/23/98,0.359
SP,1998,04/20/98,0.49
SP,1998,05/19/98,0.37
SP,1998,06/15/98,0.344
SP,1998,07/14/98,0.332
SP,1998,08/12/98,0.319
SP,1998,09/09/98,0.33
SP,1998,10/06/98,0.312
SP,1998,11/12/98,0.769
SP,1999,02/23/99,
SP,1999,05/04/99,0.326
SP,1999,06/02/99,0.301
SP,1999,07/01/99,0.279
SP,1999,07/28/99,0.32
SP,1999,08/23/99,0.245
SP,1999,09/23/99,0.374
SP,1999,10/19/99,0.319
SP,2000,01/18/00,
SP,2000,04/06/00,0.494
SP,2000,05/02/00,0.352
SP,2000,05/30/00,0.282
SP,2000,06/27/00,0.277
SP,2000,07/26/00,0.312
SP,2000,08/21/00,0.347
SP,2000,09/18/00,0.335
SP,2000,10/17/00,0.284
SP,2000,11/16/00,0.361
SP,2001,02/28/01,0.212
SP,2001,04/30/01,0.417
SP,2001,05/29/01,0.315
SP,2001,06/26/01,0.28
SP,2001,07/24/01,0.279
SP,2001,08/20/01,0.264
SP,2001,09/18/01,0.242
SP,2001,10/15/01,0.236
SP,2001,11/15/01,0.346
SP,2002,02/28/02,0.267
SP,2002,04/23/02,0.365
SP,2002,05/22/02,
SP,2002,06/19/02,0.308
SP,2002,07/17/02,0.311
SP,2002,08/14/02,0.333
SP,2002,09/12/02,0.334
SP,2002,10/09/02,0.257
SP,2002,11/07/02,0.461
SP,2003,03/06/03,0.238
SP,2003,04/29/03,0.36
SP,2003,05/30/03,
SP,2003,06/23/03,0.29
SP,2003,07/21/03,0.296
SP,2003,08/20/03,0.26
SP,2003,09/16/03,0.33
SP,2003,10/14/03,
SP,2003,11/13/03,0.553
SP,2004,02/18/04,
SP,2004,04/30/04,
SP,2004,05/24/04,0.382
SP,2004,06/22/04,0.32
SP,2004,07/21/04,0.304
SP,2004,08/16/04,0.3
SP,2004,09/13/04,0.322
SP,2004,10/11/04,0.293
SP,2004,11/10/04,0.524
SP,2005,02/25/05,0.509
SP,2005,04/20/05,0.352
SP,2005,05/19/05,0.336
SP,2005,06/13/05,0.273
SP,2005,07/12/05,0.289
SP,2005,08/09/05,0.275
