raw_id,lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,taxa_id
1,TB,2010,2010-2-22,,0m,,Rhodospirillum rubrum,5.2,1.111818,Rhodospirillum,1,1317.7158,1317.7158,1345.3878,0.00134539,1000986
2,TB,2010,2010-2-22,,0m,Chlorophyta,Chlamydomonas ,7,1.258313,Chlamydomonas,1,15.1462,15.1462,1522.6585,0.00152266,2080
3,TB,2010,2010-2-22,,0m,Cryptophyta,Cryptomonas erosa,32,20.971848,Cryptomonas,1,7.5731,7.5731,25377.6325,0.02537763,3015
4,TB,2010,2010-2-22,,0m,Cyanophyta,Aphanocapsa delicatissima,12,0.045873,Aphanocapsa,14,7.5731,106.0231,55.5137,0.00005551,4054
5,TB,2010,2010-2-22,,0m,Cyanophyta,Synechococcus ,7.3333,0.036047,Synechococcus,1,45.4385,45.4385,43.6164,0.00004362,4320
6,TB,2010,2010-2-22,,0m,Euglenophyta,Euglena ,12.4,75.593043,Euglena,1,454.3848,454.3848,91473.6948,0.09147369,5020
7,TB,2010,2010-2-22,,0m,Miscellaneous,Miscellaneous,6,0.983058,,1,15.1462,15.1462,1189.5763,0.00118958,7140
8,TB,2010,2010-4-13,,0m,,Rhodospirillum rubrum,5.6,13.028204,Rhodospirillum,1,48164.7842,48164.7842,52961.9967,0.052962,1000986
9,TB,2010,2010-4-13,,0m,Bacillariophyta,Asterionella formosa,80,0.3153,Asterionella,4,0.9143,3.6573,1281.7498,0.00128175,1021
10,TB,2010,2010-4-13,,0m,Chlorophyta,Chlorophyta,5.25,1.474835,,1,136.3154,136.3154,5995.466,0.00599547,1000057
11,TB,2010,2010-4-13,,0m,Chlorophyta,Chlorococcaceae,7,6.390949,,1,136.3154,136.3154,25980.3572,0.02598036,2683
12,TB,2010,2010-4-13,,0m,Chlorophyta,Chlamydomonas ,9.2727,45.450422,Chlamydomonas,1,545.2617,545.2617,184764.1653,0.18476417,2080
13,TB,2010,2010-4-13,,0m,Chrysophyta,Chrysophyceae,3,2.338769,,1,681.5771,681.5771,9507.5239,0.00950752,1652
14,TB,2010,2010-4-13,,0m,Cryptophyta,Rhodomonas minuta,8,1.123682,Rhodomonas,1,136.3154,136.3154,4567.9709,0.00456797,3043
15,TB,2010,2010-4-13,,0m,Cyanophyta,Synechococcus ,6,0.008779,Synechococcus,1,45.4385,45.4385,35.6874,0.00003569,4320
16,TB,2010,2010-4-13,,0m,Cyanophyta,Synechocystis ,1.5,0.019751,Synechocystis,1,45.4385,45.4385,80.2943,0.00008029,4285
17,TB,2010,2010-4-13,,0m,Euglenophyta,Euglena ,10.8,25.367141,Euglena,1,681.5771,681.5771,103122.0071,0.10312201,5020
18,TB,2010,2010-4-13,,0m,Miscellaneous,Miscellaneous,6,1.123684,,1,90.877,90.877,4567.9754,0.00456798,7140
19,TB,2010,2010-4-13,,0m,Pyrrhophyta,Peridinium ,32,3.358488,Peridinium,1,1.8286,1.8286,13652.8602,0.01365286,6040
20,TB,2010,2010-6-10,,0m,,Rhodospirillum rubrum,6,0.671022,Rhodospirillum,1,5907.0018,5907.0018,6959.0389,0.00695904,1000986
21,TB,2010,2010-6-10,,0m,Bacillariophyta,Asterionella formosa,70,17.175023,Asterionella,5.3333,151.4616,807.7901,178118.8246,0.17811882,1021
22,TB,2010,2010-6-10,,0m,Chlorophyta,Chlorococcaceae,2,0.012235,,1,30.2923,30.2923,126.8885,0.00012689,2683
23,TB,2010,2010-6-10,,0m,Chlorophyta,Chlorophyta,5.3333,1.706802,,1,817.8926,817.8926,17700.9126,0.01770091,1000057
24,TB,2010,2010-6-10,,0m,Chlorophyta,Chlamydomonas ,7,4.47668,Chlamydomonas,1,363.5078,363.5078,46426.7807,0.04642678,2080
25,TB,2010,2010-6-10,,0m,Chlorophyta,Coelastrum ,80,0.74127,Coelastrum,32,0.9143,29.2584,7687.5653,0.00768757,8484
26,TB,2010,2010-6-10,,0m,Chlorophyta,Monomastix minuta,5,0.034411,Monomastix,1,30.2923,30.2923,356.8738,0.00035687,1000538
27,TB,2010,2010-6-10,,0m,Chlorophyta,Oocystis parva,10,0.550581,Oocystis,1,30.2923,30.2923,5709.9685,0.00570997,2363
28,TB,2010,2010-6-10,,0m,Chlorophyta,Schroederia judayi,36,0.194538,Schroederia,1,90.877,90.877,2017.5228,0.00201752,2491
29,TB,2010,2010-6-10,,0m,Chrysophyta,Chrysophyceae,2.8,5.805297,,1,3453.3242,3453.3242,60205.5986,0.0602056,1652
30,TB,2010,2010-6-10,,0m,Cryptophyta,Cryptomonas erosa,22.2,52.494951,Cryptomonas,1,636.1387,636.1387,544414.9075,0.54441491,3015
31,TB,2010,2010-6-10,,0m,Cryptophyta,Rhodomonas minuta,8,0.097881,Rhodomonas,1,30.2923,30.2923,1015.1046,0.0010151,3043
32,TB,2010,2010-6-10,,0m,Cyanophyta,Aphanocapsa delicatissima,12,0.024471,Aphanocapsa,16,30.2923,484.6771,253.7769,0.00025378,4054
33,TB,2010,2010-6-10,,0m,Cyanophyta,Synechococcus ,6,0.027529,Synechococcus,1,90.877,90.877,285.499,0.0002855,4320
34,TB,2010,2010-6-10,,0m,Euglenophyta,Euglena ,20,12.193072,Euglena,1,151.4616,151.4616,126451.9759,0.12645198,5020
35,TB,2010,2010-6-10,,0m,Miscellaneous,Miscellaneous,9.3333,3.084599,,1,90.877,90.877,31989.7774,0.03198978,7140
36,TB,2010,2010-6-10,,0m,Pyrrhophyta,Gymnodinium sp. 2,10,0.489406,Gymnodinium,1,30.2923,30.2923,5075.5262,0.00507553,6033
37,TB,2010,2010-6-10,,0m,Pyrrhophyta,Gymnodinium sp. 3,8,0.220233,Gymnodinium,1,30.2923,30.2923,2283.9862,0.00228399,6034
38,TB,2010,2010-7-7,,0m,,Rhodospirillum rubrum,4.6667,0.337723,Rhodospirillum,1,3907.7089,3907.7089,3580.6337,0.00358063,1000986
39,TB,2010,2010-7-7,,0m,Bacillariophyta,Asterionella formosa,66.6667,0.543131,Asterionella,8,3.6573,29.2584,5758.4179,0.00575842,1021
40,TB,2010,2010-7-7,,0m,Bacillariophyta,Lindavia intermedia,28,0.743421,Lindavia,1,0.9143,0.9143,7881.953,0.00788195,1000936
41,TB,2010,2010-7-7,,0m,Chlorophyta,Chlorococcaceae,4.25,0.592791,,1,151.4616,151.4616,6284.9288,0.00628493,2683
42,TB,2010,2010-7-7,,0m,Chlorophyta,Chlorophyta,4.3333,0.230025,,1,90.877,90.877,2438.792,0.00243879,1000057
43,TB,2010,2010-7-7,,0m,Chlorophyta,Chlamydomonas ,8.4444,9.352923,Chlamydomonas,1,484.6771,484.6771,99162.2636,0.09916226,2080
44,TB,2010,2010-7-7,,0m,Chlorophyta,Monomastix minuta,4,0.011968,Monomastix,1,30.2923,30.2923,126.8885,0.00012689,1000538
45,TB,2010,2010-7-7,,0m,Chlorophyta,Schroederia judayi,25,0.095745,Schroederia,1,121.1693,121.1693,1015.1077,0.00101511,2491
46,TB,2010,2010-7-7,,0m,Chlorophyta,Sphaerocystis schroeteri,40,2.585091,Sphaerocystis,4,60.5846,242.3385,27407.8403,0.02740784,2641
47,TB,2010,2010-7-7,,0m,Chrysophyta,Chrysophyceae,2.4,2.622529,,1,4271.2167,4271.2167,27804.7666,0.02780477,1652
48,TB,2010,2010-7-7,,0m,Chrysophyta,Dinobryon cylindricum,50,0.191488,Dinobryon,1,30.2923,30.2923,2030.2093,0.00203021,1124
49,TB,2010,2010-7-7,,0m,Cryptophyta,Cryptomonas erosa,23.4,78.431172,Cryptomonas,1,848.1849,848.1849,831548.8353,0.83154884,3015
50,TB,2010,2010-7-7,,0m,Cyanophyta,Synechococcus ,4,0.02992,Synechococcus,1,151.4616,151.4616,317.2211,0.00031722,4320
51,TB,2010,2010-7-7,,0m,Cyanophyta,Synechocystis ,1.5,0.015147,Synechocystis,1,90.877,90.877,160.5887,0.00016059,4285
52,TB,2010,2010-7-7,,0m,Euglenophyta,Euglena ,9,4.216928,Euglena,1,272.6309,272.6309,44709.0336,0.04470903,5020
53,TB,2010,2010-8-3,,0m,,Rhodospirillum rubrum,4.5,0.352879,Rhodospirillum,1,2908.0624,2908.0624,2569.564,0.00256956,1000986
54,TB,2010,2010-8-3,,0m,Chlorophyta,Chlorophyta,2,0.008368,,1,15.1462,15.1462,60.9315,0.00006093,1000057
55,TB,2010,2010-8-3,,0m,Chlorophyta,Chlorococcaceae,5,0.272275,,1,30.2923,30.2923,1982.6261,0.00198263,2683
56,TB,2010,2010-8-3,,0m,Chlorophyta,Chlamydomonas ,7.6,9.783337,Chlamydomonas,1,318.0693,318.0693,71239.4509,0.07123945,2080
57,TB,2010,2010-8-3,,0m,Chlorophyta,Monomastix minuta,4.5,0.049009,Monomastix,1,75.7308,75.7308,356.8738,0.00035687,1000538
58,TB,2010,2010-8-3,,0m,Chlorophyta,Monoraphidium griffithii,40,0.15683,Monoraphidium,1,30.2923,30.2923,1141.9931,0.00114199,1000031
59,TB,2010,2010-8-3,,0m,Chlorophyta,Oocystis parva,8,0.21782,Oocystis,1,15.1462,15.1462,1586.1027,0.0015861,2363
60,TB,2010,2010-8-3,,0m,Chlorophyta,Schroederia judayi,38,0.174256,Schroederia,1,60.5846,60.5846,1268.8846,0.00126888,2491
61,TB,2010,2010-8-3,,0m,Chlorophyta,Sphaerocystis schroeteri,20,0.940982,Sphaerocystis,4,15.1462,60.5846,6851.9601,0.00685196,2641
62,TB,2010,2010-8-3,,0m,Chrysophyta,Chrysophyceae,2,1.178429,,1,2090.1699,2090.1699,8580.9834,0.00858098,1652
63,TB,2010,2010-8-3,,0m,Chrysophyta,Dinobryon cylindricum,59,0.98019,Dinobryon,1,60.5846,60.5846,7137.4576,0.00713746,1124
64,TB,2010,2010-8-3,,0m,Chrysophyta,Dinobryon cylindricum,116,0.95623,Dinobryon,2,30.2923,60.5846,6962.989,0.00696299,1125
65,TB,2010,2010-8-3,,0m,Chrysophyta,Kephyrion ,8,0.039208,Kephyrion,1,15.1462,15.1462,285.499,0.0002855,1560
66,TB,2010,2010-8-3,,0m,Cryptophyta,Cryptomonas erosa,22.2,74.630326,Cryptomonas,1,727.0156,727.0156,543436.608,0.54343661,3015
67,TB,2010,2010-8-3,,0m,Cryptophyta,Rhodomonas minuta,8,0.069702,Rhodomonas,1,15.1462,15.1462,507.5523,0.00050755,3043
68,TB,2010,2010-8-3,,0m,Cyanophyta,Synechococcus ,6,0.006534,Synechococcus,1,15.1462,15.1462,47.5832,0.00004758,4320
69,TB,2010,2010-8-3,,0m,Cyanophyta,Synechocystis ,1.5,0.011026,Synechocystis,1,45.4385,45.4385,80.2943,0.00008029,4285
70,TB,2010,2010-8-3,,0m,Euglenophyta,Euglena ,12,9.572461,Euglena,1,242.3385,242.3385,69703.9061,0.06970391,5020
71,TB,2010,2010-8-3,,0m,Haptophyta,Chrysochromulina parva,4,0.251626,Chrysochromulina,1,60.5846,60.5846,1832.2672,0.00183227,1731
72,TB,2010,2010-8-3,,0m,Pyrrhophyta,Gymnodinium sp. 2,10,0.348511,Gymnodinium,1,15.1462,15.1462,2537.7631,0.00253776,6033
73,TB,2010,2010-11-15,,0m,,Rhodospirillum rubrum,5,2.291902,Rhodospirillum,1,7088.4022,7088.4022,6958.6844,0.00695868,1000986
74,TB,2010,2010-11-15,,0m,Bacillariophyta,Tabellaria flocculosa,48,1.110123,Tabellaria,1,0.5486,0.5486,3370.562,0.00337056,1332
75,TB,2010,2010-11-15,,0m,Chlorophyta,Chlorophyta,3.5,0.77648,,1,136.3154,136.3154,2357.548,0.00235755,1000057
76,TB,2010,2010-11-15,,0m,Chlorophyta,Chlorococcaceae,2,0.037613,,1,27.2631,27.2631,114.1996,0.0001142,2683
77,TB,2010,2010-11-15,,0m,Chlorophyta,Chlamydomonas ,6.875,58.935367,Chlamydomonas,1,954.208,954.208,178939.7615,0.17893976,2080
78,TB,2010,2010-11-15,,0m,Chrysophyta,Chrysophyceae,2.8889,26.321192,,1,4498.4091,4498.4091,79916.4867,0.07991649,1652
79,TB,2010,2010-11-15,,0m,Chrysophyta,Kephyrion planctonicum,8,0.169257,Kephyrion,1,27.2631,27.2631,513.8983,0.0005139,1000615
80,TB,2010,2010-11-15,,0m,Cyanophyta,Aphanizomenon ,176,0.399618,Aphanizomenon,29.3333,0.5486,16.0921,1213.3152,0.00121332,4040
81,TB,2010,2010-11-15,,0m,Cyanophyta,Aphanothece saxicola,12,0.150451,Aphanothece,8,27.2631,218.1047,456.7984,0.0004568,4064
