lakeid,sampledate,depth,chlor
TB,1981-07-15,0.00,60.3
TB,1981-07-15,2.00,185.6
TB,1981-07-15,3.00,109.7
TB,1981-07-15,5.00,42.9
TB,1981-07-15,7.00,25.3
TB,1981-07-29,0.00,27.7
TB,1981-07-29,2.00,158.1
TB,1981-07-29,3.00,116.3
TB,1981-07-29,5.00,39.5
TB,1981-07-29,8.00,29.6
TB,1981-08-12,0.00,30.7
TB,1981-08-12,2.00,77.9
TB,1981-08-12,3.00,145.7
TB,1981-08-12,5.00,47.7
TB,1981-08-12,7.00,108.6
TB,1981-08-27,0.00,21.4
TB,1981-08-27,2.00,65.9
TB,1981-08-27,3.00,122.7
TB,1981-08-27,5.00,53.7
TB,1981-08-27,7.00,26.6
TB,1981-09-14,0.00,21.3
TB,1981-09-14,2.00,23.0
TB,1981-09-14,3.00,151.4
TB,1981-09-14,5.00,58.6
TB,1981-09-14,7.00,30.1
TB,1981-09-26,0.00,10.2
TB,1981-09-26,2.00,109.2
TB,1981-09-26,3.00,64.7
TB,1981-09-26,5.00,55.2
TB,1981-09-26,7.00,31.8
TB,1981-10-23,0.00,18.7
TB,1981-10-23,2.00,18.3
TB,1981-10-23,3.00,17.0
TB,1981-10-23,5.00,15.4
TB,1981-10-23,6.50,26.0
TB,1982-01-27,0.00,7.3
TB,1982-01-27,2.00,7.4
TB,1982-01-27,3.00,6.5
TB,1982-01-27,5.00,28.2
TB,1982-01-27,7.00,64.2
TB,1982-03-03,0.00,9.7
TB,1982-03-03,2.00,7.4
TB,1982-03-03,3.00,26.2
TB,1982-03-03,5.00,3.7
TB,1982-03-03,7.00,45.1
TB,1982-04-06,0.00,1.2
TB,1982-04-06,2.00,0.7
TB,1982-04-06,3.00,1.2
TB,1982-04-06,5.00,0.0
TB,1982-04-06,7.00,0.4
TB,1982-05-12,0.00,9.8
TB,1982-05-12,3.00,5.0
TB,1982-05-12,5.00,3.3
TB,1982-05-12,7.00,2.8
TB,1982-05-24,0.00,4.6
TB,1982-05-24,2.00,32.1
TB,1982-05-24,3.00,8.2
TB,1982-05-24,5.00,2.8
TB,1982-05-24,7.00,2.9
TB,1982-06-07,0.00,10.3
TB,1982-06-07,2.00,91.6
TB,1982-06-07,3.00,16.8
TB,1982-06-07,5.00,7.6
TB,1982-06-07,7.00,6.5
TB,1982-06-21,0.00,5.5
TB,1982-06-21,2.00,160.4
TB,1982-06-21,4.00,8.4
TB,1982-06-21,6.00,3.3
TB,1982-07-07,0.00,7.7
TB,1982-07-07,2.00,42.0
TB,1982-07-07,3.00,19.7
TB,1982-07-07,5.00,11.7
TB,1982-07-07,7.00,6.0
TB,1982-07-22,0.00,2.8
TB,1982-07-22,2.00,39.5
TB,1982-07-22,3.00,10.4
TB,1982-07-22,5.00,3.3
TB,1982-07-22,7.00,4.8
TB,1982-08-04,0.00,28.8
TB,1982-08-04,2.00,105.0
TB,1982-08-04,3.00,9.3
TB,1982-08-04,5.00,14.6
TB,1982-08-04,7.00,5.6
TB,1982-08-19,0.00,13.2
TB,1982-08-19,2.00,50.9
TB,1982-08-19,5.00,14.2
TB,1982-08-19,7.00,9.4
TB,1982-09-07,0.00,3.1
TB,1982-09-07,2.00,7.7
TB,1982-09-07,3.00,28.2
