"","x"
"1","Limnothrix"
"2","Microcystis"
"3","Peanut"
"4","Cyclotella"
"5","unID cyanobacteria (colony)"
"6","Cyclostephanos invisitatus"
"7","Naked Dinoflagellate"
"8","Cryptomonas"
"9","Cf. Komvophoron / Trichormus"
"10","Cf. Planktolyngabia"
"11","Small cocconeis"
"12","Rhoicosphenia"
"13","Cryptomonad"
"14","Armored Dinoflagellate"
"15","Sellaphora"
"16","Diatoma mesodon"
"17","Navicula"
"18","Dinobryon"
"19","Small Cocconeis"
"20","Cf. Elakatothrix"
"21","Nostoc"
"22","Lindavia"
"23","Cf. Craspedostauros"
"24","Cyanobacterium diachloros"
"25","Fragilaria crototensis"
"26","Asterionella"
"27","Cf. Merispomedia"
"28","Cf. Cavinula"
"29","Fragilaria intermedia"
"30","Asterionella formosa"
"31","Diploneis"
"32","Cf. Encyonema"
"33","Cf. Sellaphora pupula"
"34","Fragilaria"
"35","Cf. Asterocapsa"
"36","Lindavia comensis"
"37","Cf. Cyanobium"
"38","Planothidium"
"39","Actinastrum hantzchii"
"40","Hippodonta capitata"
"41","Chamaecalyx"
"42","Ankistrodesmus falcatus"
"43","Actinastrum hantzchii (colony)"
"44","Cf. Coelosphaerium"
"45","?10"
"46","Large Cryptomonad"
"47","Cyanobacteria diachloros"
"48","Cyanobacteria diachlorus"
"49","Cf. Diatoma mesodon"
"50","Tetraedron victoriae"
"51","?11"
"52","Placoneis"
"53","Epithemia"
"54","Euglena"
"55","Flagellated green"
"56","Tabellaria"
"57","Aulacoseira"
"58","Lindavia affinis"
"59","Stephanodiscus"
"60","Encyonema"
"61","Asterocapsa"
"62","Cf. Pseudosaurosira"
"63","Stauroforma"
"64","Achnanthidium"
"65","Segmented Green"
"66","Flagellated Green"
"67","Segmented green"
"68","Cf. Placoneis"
"69","Gomphonema"
"70","Hydrococcus"
"71","Mallomonas colony"
"72","Gloeocapsa"
"73","Pseudostaurosira"
"74","Actinastrum falcatus"
"75","Cyclostephanos"
"76","unID Cocconeis"
"77","Coleosphaerum"
"78","Mallomonas (colony)"
"79","Synura"
"80","Nitzschia"
"81","Cyclotella meneghiniana"
"82","Fragillaria"
"83","Mallomonas"
"84","Cyclotella ocellata"
"85","Stephanodiscus niagare"
"86","Prestauroneis protracta"
"87","Ulnaria cf. acus"
"88","Aulacoseira cf. subarctica"
"89","Aulacoseira cf. ambigua"
"90","Fragilaria tenera"
"91","Aulacoseira cf. islandica"
"92","Closteriopsis longissima"
"93","Cyclotella distinguenda"
"94","Karayevia"
"95","Discostella"
"96","Cymbella"
"97","Eunota"
"98","Staurastrum"
"99","Gomphoneis"
"100","Chrysosphaerella"
"101","Lindavia "
"102","Stephanodiscus cf. alpinus"
"103","Discostella stelligera"
"104","Hydrococus"
"105","Uroslenia"
"106","Cf. Actinocyclus"
"107","Cf. Anabaena"
"108","Chroococcus cf. kidneys"
"109","unID colonial Cyanobacteria"
"110","Chroococcus "
"111","Cf. Achnanthidium"
"112","Discotella"
"113","Cf. Fragilariforma constricta"
"114","unID Cyanobacteria"
"115","Thin rod"
"116","unID cyanobacteria"
"117","Chroococcus"
"118","Cf. Chlorallantus oblongus"
"119","Cf. Tetraedron victoriae"
"120","Eunotia"
"121","Cf. Eutrepita globulifera"
"122","Cf. Rossithidium linearis"
"123","Merismopedia"
"124","Planktolyngabia"
"125","Elakatothrix"
"126","Ceratium"
"127","Cyclotella comensis"
"128","Cf. Chlorallantis oblongus"
"129","Cf. Hippodonta"
"130","Staurosira construens"
"131","Fragilaria crotonensis"
"132","Mallomonas c"
"133","Cf. Anabaenopsis elenkinii (colony)"
"134","Croococcus cf. kidneys"
"135","unID chrysophyte"
"136","Small cocconies"
"137","Microcystis (large)"
"138","Microcystis (small)"
"139","Lindavia (Lindavia affinis)"
"140","Aphanothece bacilloidea"
"141","Cyanobium"
"142","Statospore"
"143","Cosmarium (Croococcus cf. kidneys)"
"144","unID pennate diatom with stauros"
"145","Lindavia comensis (C. Comensis)"
"146","?17"
"147","Cocconeis"
"148","Perdinium"
"149","unID pennate diatom"
"150","unID bacilliariales diatom"
"151","Cosmarium"
"152","Cf. Ulnaria"
"153","Planktothrix cells"
"154","Cf. Cryptomonad (NEW CATEGORY)"
"155","unID cilliate"
"156","Small green filament"
"157","Stephanodiscus hantzschii"
"158","Cf. Cryptomonad"
"159","unID Ciliate"
"160","Microcyctis"
"161","Cf. Staurosira"
"162","Discostella "
"163","Cf. Cymbella"
"164","Stephanodiscus niagarae"
"165","Planktothrix strand"
"166","Cf. Aphanocapsa inserta colony"
"167","Cf. Actinastrum falcatus"
"168","Synura colony"
"169","Large Cryptomonad-esque cell husks"
"170","Nitzschioid diatom"
"171","unID Naviculoid diatom"
"172","Lindavia cf. bodanica"
"173","Pinnularia"
"174","unID Cyclotella"
"175","Cf. Raphidocelis subcapitata"
"176","Cf. Sellaphora (small)"
"177","Small Chroococcus"
"178","Cf. Decussata"
"179","Long thin rod"
"180","Photosynthetic Euglenoid"
"181","Dinobryon internal organelles ONLY"
"182","Cf. Karayevia"
"183","Planktothrix"
"184","Small chroococcus"
"185","Anabaena eucompacta"
"186","Cf. Aphanothece bacilloidea"
"187","Photosynthetic Euglena"
"188","Mallomonas Colony"
"189","Cf. Staurosirella leptostauron var dubia"
"190","Cf. Planothidium"
"191","Large cryptomonad"
"192","Cf. Golenkinia"
"193","Filamentous Green"
"194","Adlafia"
"195","Stephanodiscus small"
"196","Dinobryon small"
