"","sampledate","depth","o2","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite"
"1","06/04/1981",0,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","06/16/1981",0,NA,NA,400,NA,NA,NA,NA,NA,NA,NA
"3","06/30/1981",0,7.5,NA,1100,NA,NA,NA,NA,NA,NA,NA
"4","07/16/1981",0,NA,760,440,0.579,NA,NA,NA,NA,NA,0.578947368421053
"5","07/27/1981",0,9.1,230,155.5,0.676,NA,NA,NA,NA,NA,0.676086956521739
"6","08/11/1981",0,NA,970,650,0.67,NA,NA,NA,NA,NA,0.670103092783505
"7","08/25/1981",0,9.3,620,410,0.661,NA,NA,NA,NA,NA,0.661290322580645
"8","09/15/1981",0,NA,910,560,0.615,NA,NA,NA,NA,NA,0.615384615384615
"9","09/22/1981",0,NA,978,510,0.521,NA,NA,NA,NA,NA,0.521472392638037
"10","10/19/1981",0,9.7,133,82,0.617,NA,NA,NA,NA,NA,0.616541353383459
"11","12/02/1981",0,11.7,95,65,0.684,NA,NA,NA,NA,NA,0.684210526315789
"12","01/20/1982",0,11.4,NA,NA,NA,4.3,43,22.5,NA,20.5,NA
"13","02/24/1982",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","04/05/1982",0,13.4,NA,NA,NA,4,51,24.7,NA,26.3,NA
"15","05/12/1982",0,10.5,570,265,0.465,NA,NA,NA,NA,NA,0.464912280701754
"16","05/27/1982",0,7.9,410,350,0.854,NA,NA,NA,NA,NA,0.853658536585366
"17","06/10/1982",0,7.7,600,400,0.667,NA,NA,NA,NA,NA,0.666666666666667
"18","06/23/1982",0,NA,710,570,0.803,NA,NA,NA,NA,NA,0.802816901408451
"19","07/08/1982",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","07/20/1982",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","08/02/1982",0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","08/17/1982",0,NA,NA,1420,NA,NA,NA,NA,NA,NA,NA
"23","09/09/1982",0,9.1,1350,1050,0.778,NA,NA,NA,NA,NA,0.777777777777778
"24","09/20/1982",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","10/07/1982",0,10,270,190,0.704,NA,NA,NA,NA,NA,0.703703703703704
"26","10/19/1982",0,9.5,98,68,0.694,NA,NA,NA,NA,NA,0.693877551020408
"27","11/10/1982",0,9.8,58,41,0.707,NA,NA,NA,NA,NA,0.706896551724138
"28","12/02/1982",0,10.9,144,120,0.833,NA,NA,NA,NA,NA,0.833333333333333
"29","01/13/1983",0,13.1,NA,NA,NA,24,27,1,NA,26,NA
"30","02/24/1983",0,11,NA,NA,NA,1,29,1,NA,28,NA
"31","03/28/1983",0,NA,NA,NA,NA,9.5,39,8,NA,31,NA
"32","05/11/1983",0,11.1,1570,1350,0.86,NA,NA,NA,NA,NA,0.859872611464968
"33","05/25/1983",0,11.1,1750,1575,0.9,NA,NA,NA,NA,NA,0.9
"34","06/09/1983",0,10,1680,1500,0.893,NA,NA,NA,NA,NA,0.892857142857143
"35","06/21/1983",0,8.7,560,350,0.625,NA,NA,NA,NA,NA,0.625
"36","07/08/1983",0,8.6,1550,1450,0.935,NA,NA,NA,NA,NA,0.935483870967742
"37","07/21/1983",0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921787709497
"38","07/21/1983",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","08/01/1983",0,8.8,1860,1600,0.86,NA,NA,NA,NA,NA,0.860215053763441
"40","08/16/1983",0,9.3,800,610,0.763,NA,NA,NA,NA,NA,0.7625
"41","09/06/1983",0,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","09/27/1983",0,8.8,740,580,0.784,NA,NA,NA,NA,NA,0.783783783783784
"43","10/17/1983",0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747474748
"44","10/17/1983",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","11/02/1983",0,8.6,249,193,0.775,NA,NA,NA,NA,NA,0.775100401606426
"46","11/15/1983",0,8.7,145,115,0.793,NA,NA,NA,NA,NA,0.793103448275862
"47","11/29/1983",0,10.6,225,200,0.889,NA,NA,NA,NA,NA,0.888888888888889
"48","01/06/1984",0,12.9,NA,NA,NA,2.7,36.2,11.8,NA,24.4,NA
"49","02/27/1984",0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA
"50","02/27/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","04/10/1984",0,9.6,NA,NA,NA,0,44.5,5,NA,39.5,NA
"52","04/26/1984",0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","05/09/1984",0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","05/21/1984",0,10.1,740,700,0.946,NA,NA,NA,NA,NA,0.945945945945946
"55","05/21/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","06/04/1984",0,10,1650,1050,0.636,NA,NA,NA,NA,NA,0.636363636363636
"57","06/20/1984",0,9,622,489,0.786,NA,NA,NA,NA,NA,0.786173633440514
"58","06/20/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","07/05/1984",0,8.1,661,206,0.312,NA,NA,NA,NA,NA,0.311649016641452
"60","07/16/1984",0,8.2,685,489,0.714,NA,NA,NA,NA,NA,0.713868613138686
"61","07/16/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","07/31/1984",0,8.6,1700,1260,0.741,NA,NA,NA,NA,NA,0.741176470588235
"63","08/16/1984",0,8.5,1280,971,0.759,NA,NA,NA,NA,NA,0.75859375
"64","09/05/1984",0,8.9,930,750,0.806,NA,NA,NA,NA,NA,0.806451612903226
"65","09/25/1984",0,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","10/17/1984",0,9.1,820,610,0.744,NA,NA,NA,NA,NA,0.74390243902439
"67","10/17/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","11/07/1984",0,9.4,348,185,0.532,NA,NA,NA,NA,NA,0.531609195402299
"69","11/07/1984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","11/26/1984",0,11,93,65,0.699,NA,NA,NA,NA,NA,0.698924731182796
"71","01/11/1985",0,13.4,273,13.9,0.051,8.8,28.7,3,"0.355",25.7,0.0509157509157509
"72","01/11/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","02/27/1985",0,13.2,950,23.8,0.025,11.7,48,4,"0.272",44,0.0250526315789474
"74","03/26/1985",0,14.4,132,54,0.409,0.5,56,12,"0.233",44,0.409090909090909
"75","04/11/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","04/29/1985",0,12.1,1620,1500,0.926,0,50,50,NA,0,0.925925925925926
"77","04/29/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","05/15/1985",0,10.1,305,243,0.797,NA,NA,NA,NA,NA,0.79672131147541
"79","05/15/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","05/29/1985",0,9.7,86,67,0.779,NA,NA,NA,NA,NA,0.779069767441861
"81","06/10/1985",0,9.1,1500,1350,0.9,NA,NA,NA,NA,NA,0.9
"82","06/25/1985",0,9.1,745,510,0.685,NA,NA,NA,NA,NA,0.684563758389262
"83","06/25/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","07/10/1985",0,8,575,410,0.713,NA,NA,NA,NA,NA,0.71304347826087
"85","07/22/1985",0,8.3,1540,1360,0.883,NA,NA,NA,NA,NA,0.883116883116883
"86","08/05/1985",0,8.3,875,639,0.73,NA,NA,NA,NA,NA,0.730285714285714
"87","08/19/1985",0,8.5,352,263,0.747,NA,NA,NA,NA,NA,0.747159090909091
"88","09/10/1985",0,8.7,1650,1010,0.612,NA,NA,NA,NA,NA,0.612121212121212
"89","09/30/1985",0,9.2,185,90,0.486,NA,NA,NA,NA,NA,0.486486486486487
"90","10/23/1985",0,10,144,89,0.618,NA,NA,NA,NA,NA,0.618055555555556
"91","11/11/1985",0,10.3,480,256,0.533,NA,NA,NA,NA,NA,0.533333333333333
"92","11/11/1985",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","01/14/1986",0,13.5,750,9.31,0.012,17.5,29,6,"0.507",23,0.0124133333333333
"94","02/27/1986",0,11.9,1200,3.8,0.003,17.7,51,34,NA,17,0.00316666666666667
"95","02/27/1986",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","04/24/1986",0,11.7,870,500,0.575,NA,NA,NA,NA,NA,0.574712643678161
"97","05/07/1986",0,11.1,460,300,0.652,NA,NA,NA,NA,NA,0.652173913043478
"98","05/19/1986",0,10.7,1400,1150,0.821,NA,NA,NA,NA,NA,0.821428571428571
"99","05/19/1986",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","06/03/1986",0,9.6,1300,890,0.685,NA,NA,NA,NA,NA,0.684615384615385
"101","06/16/1986",0,9.4,1640,1200,0.732,NA,NA,NA,NA,NA,0.731707317073171
"102","06/30/1986",0,8.7,1235,925,0.749,NA,NA,NA,NA,NA,0.748987854251012
"103","07/14/1986",0,8.3,337,210,0.623,NA,NA,NA,NA,NA,0.623145400593472
"104","07/29/1986",0,8.2,1010,685,0.678,NA,NA,NA,NA,NA,0.678217821782178
"105","08/11/1986",0,8.2,1040,700,0.673,NA,NA,NA,NA,NA,0.673076923076923
"106","08/25/1986",0,9,349,198,0.567,NA,NA,NA,NA,NA,0.567335243553009
"107","09/08/1986",0,8.9,1540,1010,0.656,NA,NA,NA,NA,NA,0.655844155844156
"108","09/08/1986",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","09/22/1986",0,9.4,142,79.5,0.56,NA,NA,NA,NA,NA,0.559859154929577
"110","10/07/1986",0,9,720,420,0.583,NA,NA,NA,NA,NA,0.583333333333333
"111","10/21/1986",0,9.2,485,315,0.649,NA,NA,NA,NA,NA,0.649484536082474
"112","11/12/1986",0,11.1,835,420,0.503,NA,NA,NA,NA,NA,0.502994011976048
"113","01/14/1987",0,14.9,580,35.1,0.061,3.5,24,0,"0.342",24,0.0605172413793103
"114","02/24/1987",0,15.5,950,15.2,0.016,13.4,41,0,"0.352",41,0.016
"115","03/24/1987",0,10.4,1060,740,0.698,0,34,34,"0.327",0,0.69811320754717
"116","04/20/1987",0,12.5,710,680,0.958,NA,NA,NA,NA,NA,0.957746478873239
"117","05/05/1987",0,11.7,1050,840,0.8,NA,NA,NA,NA,NA,0.8
"118","05/20/1987",0,10,520,390,0.75,NA,NA,NA,NA,NA,0.75
"119","06/02/1987",0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","06/11/1987",0,9.1,144,101.5,0.705,NA,NA,NA,NA,NA,0.704861111111111
"121","06/29/1987",0,8.3,1560,1420,0.91,NA,NA,NA,NA,NA,0.91025641025641
"122","07/13/1987",0,8.2,810,650,0.802,NA,NA,NA,NA,NA,0.802469135802469
"123","07/29/1987",0,8,1320,1070,0.811,NA,NA,NA,NA,NA,0.810606060606061
"124","08/11/1987",0,8.2,1120,900,0.804,NA,NA,NA,NA,NA,0.803571428571429
"125","08/26/1987",0,8.6,518,370,0.714,NA,NA,NA,NA,NA,0.714285714285714
"126","09/08/1987",0,8.7,189,129,0.683,NA,NA,NA,NA,NA,0.682539682539683
"127","09/21/1987",0,8.9,375,260,0.693,NA,NA,NA,NA,NA,0.693333333333333
"128","10/05/1987",0,9.6,44,28.6,0.65,NA,NA,NA,NA,NA,0.65
"129","10/20/1987",0,9.5,330,200,0.606,NA,NA,NA,NA,NA,0.606060606060606
"130","11/02/1987",0,9.1,100,56,0.56,NA,NA,NA,NA,NA,0.56
"131","11/16/1987",0,9.6,41,26.5,0.646,NA,NA,NA,NA,NA,0.646341463414634
"132","01/19/1988",0,13.6,540,15.4,0.029,2.8,35,16,NA,19,0.0285185185185185
"133","02/29/1988",0,14.1,850,12,0.014,10.4,54,51,"0.282",3,0.0141176470588235
"134","04/04/1988",0,13.6,1360,545,0.401,0,58,9.5,"0.271",48.5,0.400735294117647
"135","04/04/1988",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","04/25/1988",0,12.2,1130,1060,0.938,NA,NA,NA,NA,NA,0.938053097345133
"137","05/09/1988",0,11.1,780,560,0.718,NA,NA,NA,NA,NA,0.717948717948718
"138","05/24/1988",0,10,1700,1500,0.882,NA,NA,NA,NA,NA,0.882352941176471
"139","06/06/1988",0,8.5,1060,870,0.821,NA,NA,NA,NA,NA,0.820754716981132
"140","06/21/1988",0,8.8,370,293,0.792,NA,NA,NA,NA,NA,0.791891891891892
"141","07/05/1988",0,8.5,1030,810,0.786,NA,NA,NA,NA,NA,0.786407766990291
"142","07/18/1988",0,8.1,390,295,0.756,NA,NA,NA,NA,NA,0.756410256410256
"143","08/01/1988",0,8,890,620,0.697,NA,NA,NA,NA,NA,0.696629213483146
