"","x"
"1",0.12
"2",0.12
"3",0.12
"4",0.12
"5",0.12
"6",0.12
"7",0.12
"8",0.12
"9",0.12
"10",0.12
"11",0.12
"12",0.12
"13",0.12
"14",0.12
"15",0.12
"16",0.12
"17",0.12
"18",0.12
"19",0.12
"20",0.12
"21",0.12
"22",0.12
"23",0.12
"24",0.12
"25",0.12
"26",0.12
"27",0.12
"28",0.12
"29",0.12
"30",0.12
"31",0.12
"32",0.12
"33",0.12
"34",0.12
"35",0.12
"36",0.12
"37",0.12
"38",0.12
"39",0.12
"40",0.12
"41",0.12
"42",0.12
"43",0.12
"44",0.12
"45",0.12
"46",0.12
"47",0.12
"48",0.12
"49",0.12
"50",0.12
"51",0.12
"52",0.12
"53",0.12
"54",0.12
"55",0.12
"56",0.12
"57",0.12
"58",0.12
"59",0.12
"60",0.12
"61",0.21
"62",0.21
"63",0.21
"64",0.21
"65",0.21
"66",0.21
"67",0.21
"68",0.21
"69",0.21
"70",0.21
"71",0.21
"72",0.21
"73",0.21
"74",0.21
"75",0.21
"76",0.21
"77",0.21
"78",0.21
"79",0.21
"80",0.21
"81",0.21
"82",0.21
"83",0.21
"84",0.21
"85",0.21
"86",0.21
"87",0.21
"88",0.21
"89",0.21
"90",0.21
"91",0.21
"92",0.21
"93",0.21
"94",0.21
"95",0.21
"96",0.21
"97",0.21
"98",0.21
"99",0.21
"100",0.21
"101",0.21
"102",0.21
"103",0.21
"104",0.21
"105",0.21
"106",0.21
"107",0.21
"108",0.21
"109",0.21
"110",0.21
"111",0.21
"112",0.21
"113",0.21
"114",0.21
"115",0.21
"116",0.21
"117",0.21
"118",0.21
"119",0.21
"120",0.21
"121",0.21
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182",NA
"183",0.23
"184",0.23
"185",0.23
"186",0.23
"187",0.23
"188",0.23
"189",0.23
"190",0.23
"191",0.23
"192",0.23
"193",0.23
"194",0.23
"195",0.23
"196",0.23
"197",0.23
"198",0.23
"199",0.23
"200",0.23
"201",0.23
"202",0.23
"203",0.23
"204",0.23
"205",0.23
"206",0.23
"207",0.23
"208",0.23
"209",0.23
"210",0.23
"211",0.23
"212",0.23
"213",0.23
"214",0.23
"215",0.23
"216",0.23
"217",0.23
"218",0.23
"219",0.23
"220",0.23
"221",0.23
"222",0.23
"223",0.23
"224",0.23
"225",0.23
"226",0.23
"227",0.23
"228",0.23
"229",0.23
"230",0.23
"231",0.23
"232",0.23
"233",0.23
"234",0.23
"235",0.23
"236",0.23
"237",0.23
"238",0.23
"239",0.23
"240",0.23
"241",0.23
"242",0.23
"243",0.23
"244",0.12
"245",0.12
"246",0.12
"247",0.12
"248",0.12
"249",0.12
"250",0.12
"251",0.12
"252",0.12
"253",0.12
"254",0.12
"255",0.12
"256",0.12
"257",0.12
"258",0.12
"259",0.12
"260",0.12
"261",0.12
"262",0.12
"263",0.12
"264",0.12
"265",0.12
"266",0.12
"267",0.12
"268",0.12
"269",0.12
"270",0.12
"271",0.12
"272",0.12
"273",0.12
"274",0.12
"275",0.12
"276",0.12
"277",0.12
"278",0.12
"279",0.12
"280",0.12
"281",0.12
"282",0.12
"283",0.12
"284",0.12
"285",0.12
"286",0.12
"287",0.12
"288",0.12
"289",0.12
"290",0.12
"291",0.12
"292",0.12
"293",0.12
"294",0.12
"295",0.12
"296",0.12
"297",0.12
"298",0.12
"299",0.12
"300",0.12
"301",0.12
"302",0.12
"303",0.12
"304",0.15
"305",0.15
"306",0.15
"307",0.15
"308",0.15
"309",0.15
"310",0.15
"311",0.15
"312",0.15
"313",0.15
"314",0.15
"315",0.15
"316",0.15
"317",0.15
"318",0.15
"319",0.15
"320",0.15
"321",0.15
"322",0.15
"323",0.15
"324",0.15
"325",0.15
"326",0.15
"327",0.15
"328",0.15
"329",0.15
"330",0.15
"331",0.15
"332",0.15
"333",0.15
"334",0.15
"335",0.15
"336",0.15
"337",0.15
"338",0.15
"339",0.15
"340",0.15
"341",0.15
"342",0.15
"343",0.15
"344",0.15
"345",0.15
"346",0.15
"347",0.15
"348",0.15
"349",0.15
"350",0.15
"351",0.15
"352",0.15
"353",0.15
"354",0.15
"355",0.15
"356",0.15
"357",0.15
"358",0.15
"359",0.15
"360",0.15
"361",0.15
"362",0.15
"363",0.15
"364",0.15
"365",0.25
"366",0.25
"367",0.25
"368",0.25
"369",0.25
"370",0.25
"371",0.25
"372",0.25
"373",0.25
"374",0.25
"375",0.25
"376",0.25
"377",0.25
"378",0.25
"379",0.25
"380",0.25
"381",0.25
"382",0.25
"383",0.25
"384",0.25
"385",0.25
"386",0.25
"387",0.25
"388",0.25
"389",0.25
"390",0.25
"391",0.25
"392",0.25
"393",0.25
"394",0.25
"395",0.25
"396",0.25
"397",0.25
"398",0.25
"399",0.25
"400",0.25
"401",0.25
"402",0.25
"403",0.25
"404",0.25
"405",0.25
"406",0.25
"407",0.25
"408",0.25
"409",0.25
"410",0.25
"411",0.25
"412",0.25
"413",0.25
"414",0.25
"415",0.25
"416",0.25
"417",0.25
"418",0.25
"419",0.25
"420",0.25
"421",0.25
"422",0.25
"423",0.25
"424",0.25
"425",0.27
"426",0.27
"427",0.27
"428",0.27
"429",0.27
"430",0.27
"431",0.27
"432",0.27
"433",0.27
"434",0.27
"435",0.27
"436",0.27
"437",0.27
"438",0.27
"439",0.27
"440",0.27
"441",0.27
"442",0.27
"443",0.27
"444",0.27
"445",0.27
"446",0.27
"447",0.27
"448",0.27
"449",0.27
"450",0.27
"451",0.27
"452",0.27
"453",0.27
"454",0.27
"455",0.27
"456",0.27
"457",0.27
"458",0.27
