,x,,,
1,Limnothrix,31,Tetraedron victoriae,
2,Microcystis,32,Placoneis,
3,Peanut,33,Epithemia,
4,Lindavia,34,Asterocapsa,
5,NA,35,Euglena,
6,Cyclostephanos,36,Flagellated Green,
7,Naked Dinoflagellate,37,Tabellaria,
8,Cryptomonad,38,Aulacoseira,
9,Cf. Komvophoron / Trichormus,39,Stephanodiscus,
10,Cf. Planktolyngabia,40,Pseudostaurosira,
11,Cocconeis,41,Stauroforma,
12,Rhoicosphenia,42,Achnanthidium,
13,Armored Dinoflagellate,43,Segmented Green,
14,Sellaphora,44,Gomphoneis,
15,Diatoma mesodon,45,Coleosphaerum,
16,Navicula,46,Mallomonas,
17,Dinobryon,47,Synura,
18,Elakatothrix,48,Nitzschia,
19,Nostoc,49,Cyclotella,
20,Cf. Craspedostauros,50,Karayevia,
21,Cyanobacteria,51,Discostella,
22,Fragilaria,triple check,Cymbella,
23,Asterionella,53,Eunota,
24,Merismopedia,54,Anabaena,
25,Cf. Cavinula,55,Chroococcus,
26,Diploneis,56,Staurosira,
27,Encyonema,57,Planktothrix,
28,Planothidium,58,Small Chroococcus,
29,Hippodonta,59,Long thin rod,
30,Cf. Coelosphaerium,60,Cf. Aphanothece bacilloidea,
,,61,Filamentous Green,
,,62,Gloeocapsa,might be a more defined thing of segemented green 
