"","x"
"1","Limnothrix"
"2","Microcystis"
"3","Peanut"
"4","Cyclotella"
"5","unID cyanobacteria (colony)"
"6","Cyclostephanos invisitatus"
"7","Naked Dinoflagellate"
"8","Cryptomonas"
"9","Cf. Komvophoron / Trichormus"
"10","Cf. Planktolyngabia"
"11","Small cocconeis"
"12","Rhoicosphenia"
"13","Cryptomonad"
"14","Armored Dinoflagellate"
"15","Sellaphora"
"16","Diatoma mesodon"
"17","Navicula"
"18","Dinobryon"
"19","Small Cocconeis"
"20","Cf. Elakatothrix"
"21","Nostoc"
"22","Lindavia"
"23","Cf. Craspedostauros"
"24","Cyanobacterium diachloros"
"25","Fragilaria crototensis"
"26","Asterionella"
"27","Cf. Merispomedia"
"28","Cf. Cavinula"
"29","Diploneis"
"30","Cf. Encyonema"
"31","Cf. Cyanobium"
"32","Planothidium"
"33","Lindavia comensis"
"34","Actinastrum hantzchii"
"35","Hippodonta capitata"
"36","Chamaecalyx"
"37","Ankistrodesmus falcatus"
"38","Actinastrum hantzchii (colony)"
"39","Cf. Coelosphaerium"
"40","?10"
"41","Large Cryptomonad"
"42","Cyanobacteria diachloros"
"43","Fragilaria"
"44","Cyanobacteria diachlorus"
"45","Cf. Diatoma mesodon"
"46","Tetraedron victoriae"
"47","?11"
"48","Placoneis"
"49","Epithemia"
"50","Cf. Asterocapsa"
"51","Euglena"
"52","Flagellated green"
"53","Tabellaria"
"54","Aulacoseira"
"55","Lindavia affinis"
"56","Stephanodiscus"
"57","Encyonema"
"58","Asterocapsa"
"59","Cf. Pseudosaurosira"
"60","Stauroforma"
"61","Achnanthidium"
"62","Segmented Green"
"63","Flagellated Green"
"64","Segmented green"
"65","Cf. Placoneis"
"66","Gomphonema"
"67","Hydrococcus"
"68","Actinastrum falcatus"
"69","Cyclostephanos"
"70","unID Cocconeis"
"71","Coleosphaerum"
"72","Mallomonas (colony)"
"73","Synura"
"74","Nitzschia"
"75","Cyclotella meneghiniana"
"76","Fragillaria"
"77","Mallomonas"
"78","Cyclotella ocellata"
"79","Stephanodiscus niagare"
"80","Prestauroneis protracta"
"81","Ulnaria cf. acus"
"82","Aulacoseira cf. subarctica"
"83","Aulacoseira cf. ambigua"
"84","Fragilaria tenera"
"85","Aulacoseira cf. islandica"
"86","Closteriopsis longissima"
"87","Cyclotella distinguenda"
"88","Karayevia"
"89","Discostella"
"90","Cymbella"
"91","Eunota"
"92","Staurastrum"
"93","Gomphoneis"
"94","Chrysosphaerella"
"95","Lindavia "
"96","Stephanodiscus cf. alpinus"
"97","Discostella stelligera"
"98","Hydrococus"
"99","Uroslenia"
"100","Cf. Actinocyclus"
"101","Cf. Anabaena"
"102","Chroococcus cf. kidneys"
"103","unID colonial Cyanobacteria"
"104","Chroococcus "
"105","Cf. Achnanthidium"
"106","Discotella"
"107","Cf. Fragilariforma constricta"
"108","unID Cyanobacteria"
"109","Thin rod"
"110","unID cyanobacteria"
"111","Chroococcus"
"112","Cf. Chlorallantus oblongus"
"113","Cf. Tetraedron victoriae"
"114","Eunotia"
"115","Cf. Eutrepita globulifera"
"116","Cf. Rossithidium linearis"
"117","Merismopedia"
"118","Planktolyngabia"
"119","Elakatothrix"
"120","Mallomonas colony"
"121","Ceratium"
"122","Cyclotella comensis"
"123","Cf. Chlorallantis oblongus"
"124","Cf. Hippodonta"
"125","Staurosira construens"
"126","Fragilaria crotonensis"
"127","Mallomonas c"
"128","Cf. Anabaenopsis elenkinii (colony)"
"129","Croococcus cf. kidneys"
"130","unID chrysophyte"
"131","Small cocconies"
"132","Microcystis (small)"
"133","Lindavia (Lindavia affinis)"
"134","Aphanothece bacilloidea"
"135","Cyanobium"
"136","Statospore"
"137","Cosmarium (Croococcus cf. kidneys)"
"138","unID pennate diatom with stauros"
"139","Lindavia comensis (C. Comensis)"
"140","?17"
"141","Cocconeis"
"142","Perdinium"
"143","unID pennate diatom"
"144","unID bacilliariales diatom"
"145","Cosmarium"
"146","Cf. Ulnaria"
"147","Planktothrix cells"
"148","Cf. Cryptomonad (NEW CATEGORY)"
"149","unID cilliate"
"150","Small green filament"
"151","Stephanodiscus hantzschii"
"152","Cf. Cryptomonad"
"153","unID Ciliate"
"154","Microcyctis"
"155","Cf. Staurosira"
"156","Discostella "
"157","Cf. Cymbella"
"158","Stephanodiscus niagarae"
"159","Planktothrix strand"
"160","Cf. Aphanocapsa inserta colony"
"161","unID Naviculoid diatom"
"162","Large Cryptomonad-esque cell husks"
"163","Cf. Actinastrum falcatus"
"164","Lindavia cf. bodanica"
"165","Pinnularia"
"166","unID Cyclotella"
"167","Cf. Raphidocelis subcapitata"
"168","Cf. Sellaphora (small)"
"169","Small Chroococcus"
"170","Cf. Decussata"
"171","Long thin rod"
"172","Photosynthetic Euglenoid"
"173","Dinobryon internal organelles ONLY"
"174","Cf. Karayevia"
"175","Planktothrix"
"176","Small chroococcus"
"177","Anabaena eucompacta"
"178","Cf. Aphanothece bacilloidea"
"179","Photosynthetic Euglena"
"180","Mallomonas Colony"
"181","Cf. Staurosirella leptostauron var dubia"
"182","Cf. Planothidium"
"183","Large cryptomonad"
"184","Cf. Golenkinia"
"185","Filamentous Green"
"186","Adlafia"
"187","Stephanodiscus small"
"188","Dinobryon small"
"189","Microcystis (large)"
"190","Fragilaria intermedia"
"191","Asterionella formosa"
"192","Gloeocapsa"
"193","Pseudostaurosira"
"194","Synura colony"
"195","Cf. Sellaphora pupula"
"196","Nitzschioid diatom"
