"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",0.24
"122",0.24
"123",0.24
"124",0.24
"125",0.24
"126",0.24
"127",0.24
"128",0.24
"129",0.24
"130",0.24
"131",0.24
"132",0.24
"133",0.24
"134",0.24
"135",0.24
"136",0.24
"137",0.24
"138",0.24
"139",0.24
"140",0.24
"141",0.24
"142",0.24
"143",0.24
"144",0.24
"145",0.24
"146",0.24
"147",0.24
"148",0.24
"149",0.24
"150",0.24
"151",0.24
"152",0.24
"153",0.24
"154",0.24
"155",0.24
"156",0.24
"157",0.24
"158",0.24
"159",0.24
"160",0.24
"161",0.24
"162",0.24
"163",0.24
"164",0.24
"165",0.24
"166",0.24
"167",0.24
"168",0.24
"169",0.24
"170",0.24
"171",0.24
"172",0.24
"173",0.24
"174",0.24
"175",0.24
"176",0.24
"177",0.24
"178",0.24
"179",0.24
"180",0.24
"181",0.24
"182",0.13
"183",0.13
"184",0.13
"185",0.13
"186",0.13
"187",0.13
"188",0.13
"189",0.13
"190",0.13
"191",0.13
"192",0.13
"193",0.13
"194",0.13
"195",0.13
"196",0.13
"197",0.13
"198",0.13
"199",0.13
"200",0.13
"201",0.13
"202",0.13
"203",0.13
"204",0.13
"205",0.13
"206",0.13
"207",0.13
"208",0.13
"209",0.13
"210",0.13
"211",0.13
"212",0.13
"213",0.13
"214",0.13
"215",0.13
"216",0.13
"217",0.13
"218",0.13
"219",0.13
"220",0.13
"221",0.13
"222",0.13
"223",0.13
"224",0.13
"225",0.13
"226",0.13
"227",0.13
"228",0.13
"229",0.13
"230",0.13
"231",0.13
"232",0.13
"233",0.13
"234",0.13
"235",0.13
"236",0.13
"237",0.13
"238",0.13
"239",0.13
"240",0.13
"241",0.13
"242",0.16
"243",0.16
"244",0.16
"245",0.16
"246",0.16
"247",0.16
"248",0.16
"249",0.16
"250",0.16
"251",0.16
"252",0.16
"253",0.16
"254",0.16
"255",0.16
"256",0.16
"257",0.16
"258",0.16
"259",0.16
"260",0.16
"261",0.16
"262",0.16
"263",0.16
"264",0.16
"265",0.16
"266",0.16
"267",0.16
"268",0.16
"269",0.16
"270",0.16
"271",0.16
"272",0.16
"273",0.16
"274",0.16
"275",0.16
"276",0.16
"277",0.16
"278",0.16
"279",0.16
"280",0.16
"281",0.16
"282",0.16
"283",0.16
"284",0.16
"285",0.16
"286",0.16
"287",0.16
"288",0.16
"289",0.16
"290",0.16
"291",0.16
"292",0.16
"293",0.16
"294",0.16
"295",0.16
"296",0.16
"297",0.16
"298",0.16
"299",0.16
"300",0.16
"301",0.16
"302",0.44
"303",0.44
"304",0.44
"305",0.44
"306",0.44
"307",0.44
"308",0.44
"309",0.44
"310",0.44
"311",0.44
"312",0.44
"313",0.44
"314",0.44
"315",0.44
"316",0.44
"317",0.44
"318",0.44
"319",0.44
"320",0.44
"321",0.44
"322",0.44
"323",0.44
"324",0.44
"325",0.44
"326",0.44
"327",0.44
"328",0.44
"329",0.44
"330",0.44
"331",0.44
"332",0.44
"333",0.44
"334",0.44
"335",0.44
"336",0.44
"337",0.44
"338",0.44
"339",0.44
"340",0.44
"341",0.44
"342",0.44
"343",0.44
"344",0.44
"345",0.44
"346",0.44
"347",0.44
"348",0.44
"349",0.44
"350",0.44
"351",0.44
"352",0.44
"353",0.44
"354",0.44
"355",0.44
"356",0.44
"357",0.44
"358",0.44
"359",0.44
"360",0.44
"361",0.44
"362",0.28
"363",0.28
"364",0.28
"365",0.28
"366",0.28
"367",0.28
"368",0.28
"369",0.28
"370",0.28
"371",0.28
"372",0.28
"373",0.28
"374",0.28
"375",0.28
"376",0.28
"377",0.28
"378",0.28
"379",0.28
"380",0.28
"381",0.28
"382",0.28
"383",0.28
"384",0.28
"385",0.28
"386",0.28
"387",0.28
"388",0.28
"389",0.28
"390",0.28
"391",0.28
"392",0.28
"393",0.28
"394",0.28
"395",0.28
"396",0.28
"397",0.28
"398",0.28
"399",0.28
"400",0.28
"401",0.28
"402",0.28
"403",0.28
"404",0.28
"405",0.28
"406",0.28
"407",0.28
"408",0.28
"409",0.28
"410",0.28
"411",0.28
"412",0.28
"413",0.28
"414",0.28
"415",0.28
"416",0.28
"417",0.28
"418",0.28
"419",0.28
"420",0.28
"421",0.28
"422",0.28
"423",0.28
"424",0.35
"425",0.35
"426",0.35
"427",0.35
"428",0.35
"429",0.35
"430",0.35
"431",0.35
"432",0.35
"433",0.35
"434",0.35
"435",0.35
"436",0.35
"437",0.35
"438",0.35
"439",0.35
"440",0.35
"441",0.35
"442",0.35
"443",0.35
"444",0.35
"445",0.35
"446",0.35
"447",0.35
"448",0.35
"449",0.35
"450",0.35
"451",0.35
"452",0.35
"453",0.35
"454",0.35
"455",0.35
"456",0.35
"457",0.35
"458",0.35
"459",0.35
"460",0.35
"461",0.35
"462",0.35
"463",0.35
"464",0.35
"465",0.35
"466",0.35
"467",0.35
"468",0.35
"469",0.35
"470",0.35
"471",0.35
"472",0.35
"473",0.35
"474",0.35
"475",0.35
"476",0.35
"477",0.35
"478",0.35
"479",0.35
"480",0.35
"481",0.35
"482",0.35
"483",0.35
"484",0.35
"485",0.35
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",NA
"502",NA
"503",NA
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",NA
"521",NA
"522",NA
"523",NA
"524",NA
"525",NA
"526",NA
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539",NA
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",NA
"547",0.68
"548",0.68
"549",0.68
"550",0.68
"551",0.68
"552",0.68
"553",0.68
"554",0.68
"555",0.68
"556",0.68
"557",0.68
"558",0.68
"559",0.68
"560",0.68
"561",0.68
"562",0.68
"563",0.68
"564",0.68
"565",0.68
"566",0.68
"567",0.68
"568",0.68
"569",0.68
"570",0.68
"571",0.68
"572",0.68
"573",0.68
"574",0.68
"575",0.68
"576",0.68
"577",0.68
"578",0.68
"579",0.68
"580",0.68
"581",0.68
"582",0.68
"583",0.68
"584",0.68
"585",0.68
"586",0.68
"587",0.68
"588",0.68
"589",0.68
"590",0.68
"591",0.68
"592",0.68
"593",0.68
"594",0.68
"595",0.68
"596",0.68
"597",0.68
"598",0.68
"599",0.68
"600",0.68
"601",0.68
"602",0.68
"603",0.68
"604",0.68
"605",0.68
"606",0.68
"607",0.27
"608",0.27
"609",0.27
"610",0.27
"611",0.27
"612",0.27
"613",0.27
"614",0.27
"615",0.27
"616",0.27
"617",0.27
"618",0.27
"619",0.27
"620",0.27
"621",0.27
"622",0.27
"623",0.27
"624",0.27
"625",0.27
"626",0.27
"627",0.27
"628",0.27
"629",0.27
"630",0.27
"631",0.27
"632",0.27
"633",0.27
"634",0.27
"635",0.27
"636",0.27
"637",0.27
"638",0.27
"639",0.27
"640",0.27
"641",0.27
"642",0.27
"643",0.27
"644",0.27
"645",0.27
"646",0.27
"647",0.27
"648",0.27
"649",0.27
"650",0.27
"651",0.27
"652",0.27
"653",0.27
"654",0.27
"655",0.27
"656",0.27
"657",0.27
"658",0.27
"659",0.27
"660",0.27
"661",0.27
"662",0.27
"663",0.27
"664",0.27
"665",0.27
"666",0.27
"667",0.27
"668",0
"669",0
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0.02
"730",0.02
"731",0.02
"732",0.02
"733",0.02
"734",0.02
"735",0.02
"736",0.02
"737",0.02
"738",0.02
"739",0.02
"740",0.02
"741",0.02
"742",0.02
"743",0.02
"744",0.02
"745",0.02
"746",0.02
"747",0.02
