"lakeid","year4","sample_date","station","species_code","species_name","density","individuals_measured","avg_length"
"AL",1982,"1982-02-23",1,10000,"COPEPOD NAUPLII",24.40,,
"AL",1982,"1982-02-23",1,20000,"CYCLOPOID",1.40,,
"AL",1982,"1982-02-23",1,20302,"DIACYCLOPS THOMASI",1.40,,
"AL",1982,"1982-02-23",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",8.60,,
"AL",1982,"1982-02-23",1,30801,"SKISTODIAPTOMUS OREGONENSIS",1.40,,
"AL",1982,"1982-02-23",1,50700,"BOSMINIDAE",1.40,,
"AL",1982,"1982-02-23",1,61502,"GASTROPUS STYLIFER",1.40,,
"AL",1982,"1982-02-23",1,61702,"KELLICOTTIA LONGISPINA",1.40,,
"AL",1982,"1982-02-23",1,61801,"KERATELLA COCHLEARIS",2.90,,
"AL",1982,"1982-02-23",1,61804,"KERATELLA EARLINAE",48.90,,
"AL",1982,"1982-02-23",1,61806,"KERATELLA QUADRATA",23.00,,
"AL",1982,"1982-02-23",1,61900,"LECANE",2.90,,
"AL",1982,"1982-05-11",1,10000,"COPEPOD NAUPLII",40.30,,
"AL",1982,"1982-05-11",1,20000,"CYCLOPOID",1.40,,
"AL",1982,"1982-05-11",1,20302,"DIACYCLOPS THOMASI",8.60,,
"AL",1982,"1982-05-11",1,20601,"MESOCYCLOPS EDAX",1.40,,
"AL",1982,"1982-05-11",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",2.90,,
"AL",1982,"1982-05-11",1,30801,"SKISTODIAPTOMUS OREGONENSIS",2.80,,
"AL",1982,"1982-05-11",1,60900,"CONOCHILUS",11.50,,
"AL",1982,"1982-05-11",1,61402,"FILINIA TERMINALIS",15.80,,
"AL",1982,"1982-05-11",1,61502,"GASTROPUS STYLIFER",1.40,,
"AL",1982,"1982-05-11",1,61804,"KERATELLA EARLINAE",17.30,,
"AL",1982,"1982-05-11",1,61806,"KERATELLA QUADRATA",66.10,,
"AL",1982,"1982-06-09",1,10000,"COPEPOD NAUPLII",26.70,,
"AL",1982,"1982-06-09",1,20000,"CYCLOPOID",14.80,,
"AL",1982,"1982-06-09",1,20101,"ACANTHOCYCLOPS VERNALIS",0.70,,
"AL",1982,"1982-06-09",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",12.60,,
"AL",1982,"1982-06-09",1,30801,"SKISTODIAPTOMUS OREGONENSIS",11.90,,
"AL",1982,"1982-06-09",1,50700,"BOSMINIDAE",2.80,,
"AL",1982,"1982-06-09",1,50900,"CERIODAPHNIA",0.70,,
"AL",1982,"1982-06-09",1,51100,"DAPHNIA",8.40,,
"AL",1982,"1982-06-09",1,51801,"HOLOPEDIUM GIBBERUM",0.70,,
"AL",1982,"1982-06-09",1,60300,"ASPLANCHNA",23.90,,
"AL",1982,"1982-06-09",1,60900,"CONOCHILUS",421.70,,
"AL",1982,"1982-06-09",1,61402,"FILINIA TERMINALIS",4.20,,
"AL",1982,"1982-06-09",1,61502,"GASTROPUS STYLIFER",1.40,,
"AL",1982,"1982-06-09",1,61702,"KELLICOTTIA LONGISPINA",26.70,,
"AL",1982,"1982-06-09",1,61801,"KERATELLA COCHLEARIS",84.40,,
"AL",1982,"1982-06-09",1,61804,"KERATELLA EARLINAE",9.80,,
"AL",1982,"1982-06-09",1,63001,"POLYARTHRA DOLICHOPTERA",19.70,,
"AL",1982,"1982-06-09",1,63400,"SYNCHAETA",70.30,,
"AL",1982,"1982-06-09",1,63603,"TRICHOCERCA CYLINDRICA",2.80,,
"AL",1982,"1982-06-09",1,63612,"TRICHOCERCA MULTICRINIS",4.20,,
"AL",1982,"1982-08-05",1,10000,"COPEPOD NAUPLII",36.60,,
"AL",1982,"1982-08-05",1,20000,"CYCLOPOID",1.60,,
"AL",1982,"1982-08-05",1,20101,"ACANTHOCYCLOPS VERNALIS",4.10,,
"AL",1982,"1982-08-05",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",4.00,,
"AL",1982,"1982-08-05",1,30801,"SKISTODIAPTOMUS OREGONENSIS",4.80,,
"AL",1982,"1982-08-05",1,51100,"DAPHNIA",0.80,,
"AL",1982,"1982-08-05",1,51103,"DAPHNIA MENDOTAE",14.60,,
"AL",1982,"1982-08-05",1,51202,"DIAPHANOSOMA BIRGEI",0.80,,
"AL",1982,"1982-08-05",1,60202,"ASCOMORPHA OVALIS",0.80,,
"AL",1982,"1982-08-05",1,60601,"COLLOTHECA MUTABILIS",6.50,,
"AL",1982,"1982-08-05",1,60900,"CONOCHILUS",96.00,,
"AL",1982,"1982-08-05",1,61702,"KELLICOTTIA LONGISPINA",2.40,,
"AL",1982,"1982-08-05",1,61801,"KERATELLA COCHLEARIS",17.10,,
"AL",1982,"1982-08-05",1,61803,"KERATELLA CRASSA",0.80,,
"AL",1982,"1982-08-05",1,61804,"KERATELLA EARLINAE",5.70,,
"AL",1982,"1982-08-05",1,63003,"POLYARTHRA MAJOR",0.80,,
"AL",1982,"1982-08-05",1,63005,"POLYARTHRA VULGARIS",13.00,,
"AL",1982,"1982-08-05",1,63100,"POMPHOLYX",1.60,,
"AL",1982,"1982-08-05",1,63603,"TRICHOCERCA CYLINDRICA",0.80,,
"AL",1982,"1982-08-05",1,63617,"TRICHOCERCA SIMILIS",4.10,,
"AL",1982,"1982-11-08",1,10000,"COPEPOD NAUPLII",5.60,,
"AL",1982,"1982-11-08",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.10,,
"AL",1982,"1982-11-08",1,30801,"SKISTODIAPTOMUS OREGONENSIS",4.40,,
"AL",1982,"1982-11-08",1,50700,"BOSMINIDAE",2.20,,
"AL",1982,"1982-11-08",1,51100,"DAPHNIA",40.30,,
"AL",1982,"1982-11-08",1,60300,"ASPLANCHNA",4.50,,
"AL",1982,"1982-11-08",1,61402,"FILINIA TERMINALIS",1.10,,
"AL",1982,"1982-11-08",1,61702,"KELLICOTTIA LONGISPINA",1.10,,
"AL",1982,"1982-11-08",1,61801,"KERATELLA COCHLEARIS",38.00,,
"AL",1982,"1982-11-08",1,61804,"KERATELLA EARLINAE",21.30,,
"AL",1982,"1982-11-08",1,61805,"KERATELLA HIEMALIS",2.20,,
"AL",1982,"1982-11-08",1,61806,"KERATELLA QUADRATA",3.40,,
"AL",1982,"1982-11-08",1,63000,"POLYARTHRA",6.70,,
"AL",1982,"1982-11-08",1,63400,"SYNCHAETA",2.20,,
"AL",1983,"1983-02-18",1,10000,"COPEPOD NAUPLII",8.00,,
"AL",1983,"1983-02-18",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",13.10,,
"AL",1983,"1983-02-18",1,30801,"SKISTODIAPTOMUS OREGONENSIS",2.90,,
"AL",1983,"1983-02-18",1,51103,"DAPHNIA MENDOTAE",2.90,,
"AL",1983,"1983-02-18",1,61502,"GASTROPUS STYLIFER",0.70,,
"AL",1983,"1983-02-18",1,61702,"KELLICOTTIA LONGISPINA",0.70,,
"AL",1983,"1983-02-18",1,61801,"KERATELLA COCHLEARIS",3.70,,
"AL",1983,"1983-02-18",1,61804,"KERATELLA EARLINAE",5.80,,
"AL",1983,"1983-02-18",1,61808,"KERATELLA TAUROCEPHALA",0.70,,
"AL",1983,"1983-02-18",1,63005,"POLYARTHRA VULGARIS",3.70,,
"AL",1983,"1983-02-18",1,63400,"SYNCHAETA",0.70,,
"AL",1983,"1983-05-10",1,10000,"COPEPOD NAUPLII",28.60,,
"AL",1983,"1983-05-10",1,20000,"CYCLOPOID",7.30,,
"AL",1983,"1983-05-10",1,20101,"ACANTHOCYCLOPS VERNALIS",0.60,,
"AL",1983,"1983-05-10",1,20302,"DIACYCLOPS THOMASI",4.20,,
