year,month,genus,cellcount,Magnification,# of Transects,Field of View #,Total Cell Count,,
1981-6,6,Cyclotella,9,,,,9,,
1981-6,6,Microcystis,19,,,,19,,
1981-6,6,Fragilaria crototensis,1,,,,1,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1997-1,1,Planktothrix,6935,1000,1,,,,
1997-1,1,Microcystis,1830,,,,,,
1997-1,1,Cyclotella,1,,,,,,
,,,,,,,,,
1997-2,2,Planktothrix,235,1000,0,7,,,
1997-2,2,Microcystis,117,,,,,,
,,,,,,,,,
1997-5,5,Planktothrix,230,1000,1,,,,
1997-5,5,Microcystis,270,,,,,,
1997-5,5,Cyclotella,5,,,,,,
1997-5,,Cryptomonad,217,,,,,,
,,,,,,,,,
1997-6,6,Planktothrix,8,,,,,,
1997-6,6,Microcystis,184,,,,,,
1997-6,6,Cryptomonad,65,,,,,,
1997-6,6,Cyclotella,18,,,,,,
,,,,,,,,,
1997-7,7,Fragilaria,19,,,,,,
1997-7,7,Planktothrix,2,,,,,,
1997-7,7,Microcystis,77,,,,,,
1997-7,7,Cryptomonad,31,,,,,,
1997-7,7,Cyclotella,1,,,,,,
,,,,,,,,,
,,,,,,,,,
1997-8,8,Planktothrix,374,,,,,,
1997-8,8,Microcystis,478,,,,,,
1997-8,8,Cryptomonad,60,,,,,,
1997-8,8,Cyclotella,5,,,,,,
,,,,,,,,,
1997-11,11,Microcystis,83,,,,,,
1997-11,11,Planktothrix,174,,,,,,
1997-11,11,Cryptomonad,97,,,,,,
1997-11,11,Fragilaria,4,,,,,,
,,,,,,,,,
1998-2,2,Planktothrix,1817,,,,,,
1998-2,2,Microcystis,998,,,,,,
1998-2,2,Cryptomonad,75,,,,358,,
1998-2,2,Fragilaria,19,,,,,,
,,,,,,,,,
,,,,,,,,,
1998-4,4,Fragilaria,16,1000,1,,,,
1998-4,4,Planktothrix,52,,,,,,
1998-4,4,Cryptomonad,109,,,,,,
,,,,,,,,,
1998-6,6,Microcystis,470,,,,,,
1998-6,6,Planktothrix,776,,,,,,
1998-6,6,Cryptomonad,127,,,,,,
1998-6,6,Fragilaria,7,,,,,,
,,,,,,,,,
1998-7,7,Fragilaria,2,,,,,,
1998-7,7,Cryptomonad,62,,,,,,
1998-7,7,Planktothrix,590,,,,,,
1998-7,7,Microcystis,541,,,,,,
1998-7,7,Cyclotella,226,,,,,,
,,,,,,,,,
1998-8,8,Planktothrix,693,,,,,,
1998-8,8,Microcystis,488,,,,,,
1998-8,8,Cryptomonad,35,,,,,,
1998-8,8,Cyclotella,171,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1998-11,11,Microcystis,25,,,,,,
1998-11,11,Planktothrix,6,,,,,,
1998-11,11,Cryptomonad,46,,,,,,
1998-11,11,Cyclotella,7,,,,,,
1998-11,11,Fragilaria,7,,,,,,
,,,,,,,,,
1999-2,2,Planktothrix,163,,,,,,
1999-2,2,Microcystis,202,,,,,,
1999-2,2,Cryptomonad,16,,,,,,
1999-2,2,Cyclotella,1,,,,,,
1999-2,2,Fragilaria,2,,,,,,
,,,,,,,,,
1999-5,5,Microcystis,94,,,,,,
1999-5,5,Cryptomonad,72,,,,,,
1999-5,5,Fragilaria,126,,,,,,
,,,,,,,,,
1999-7,7,Planktothrix,5,,,,,,
1999-7,7,Microcystis,0,,,,,,
1999-7,7,Cryptomonad,21,,,,,,
1999-7,7,Fragilaria,16,,,,,,
,,,,,,,,,
1999-8,8,Cryptomonad,30,,,,,,
1999-8,8,Cyclotella,53,,,,,,
1999-8,8,Fragilaria,11,,,,,,
,,,,,,,,,
1999-11,11,Cryptomonad,22,,,,,,
1999-11,11,Cyclotella,7,,,,,,
1999-11,11,Fragilaria,9,,,,,,
,,,,,,,,,
2000-2,2,Cryptomonad,9,,,,,,
,,,,,,,,,
2000-4,4,Cryptomonad,48,,,,,,
2000-4,4,Cyclotella,1,,,,,,
2000-4,4,Fragilaria,13,,,,,,
,,,,,,,,,
2000-5,5,Cryptomonad,22,,,,,,
2000-5,5,Cyclotella,1,,,,,,
