,X1,lakeid,year4,sampledate,ice,depth,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2,totnf,totnuf,totpf,totpuf,drsif,watercol,watercolreal
1,1,SP,1981,6/4/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,"(-Inf,3]",epi
2,2,SP,1981,6/4/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,"(-Inf,3]",epi
3,3,SP,1981,6/4/81,iceoff,2,7.68,NA,NA,NA,NA,NA,0,NA,NA,8.9,NA,NA,3,7,3000,"(-Inf,3]",epi
4,4,SP,1981,6/4/81,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,"(-Inf,3]",epi
5,5,SP,1981,6/4/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,"(3,11]",meta
6,6,SP,1981,6/4/81,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,"(3,11]",meta
7,7,SP,1981,6/4/81,iceoff,6,7.99,NA,NA,NA,NA,NA,0,NA,NA,11.3,NA,NA,4,5,3100,"(3,11]",meta
8,8,SP,1981,6/4/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,"(3,11]",meta
9,9,SP,1981,6/4/81,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"(3,11]",meta
10,10,SP,1981,6/4/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"(3,11]",meta
11,11,SP,1981,6/4/81,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,"(3,11]",meta
12,12,SP,1981,6/4/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,"(3,11]",meta
13,13,SP,1981,6/4/81,iceoff,12,7.18,NA,NA,NA,NA,NA,0,NA,NA,10.2,NA,NA,4,8,3100,"(11, Inf]",hypo
14,14,SP,1981,6/4/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,"(11, Inf]",hypo
15,15,SP,1981,6/4/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,"(11, Inf]",hypo
16,16,SP,1981,6/4/81,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,"(11, Inf]",hypo
17,17,SP,1981,6/4/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,"(11, Inf]",hypo
18,18,SP,1981,6/4/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,"(11, Inf]",hypo
19,19,SP,1981,6/4/81,iceoff,18,6.6,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,5,14,3500,"(11, Inf]",hypo
20,20,SP,1981,6/4/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,"(11, Inf]",hypo
21,21,SP,1981,6/16/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
22,22,SP,1981,6/16/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
23,23,SP,1981,6/16/81,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
24,24,SP,1981,6/16/81,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
25,25,SP,1981,6/16/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
26,26,SP,1981,6/16/81,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
27,27,SP,1981,6/16/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
28,28,SP,1981,6/16/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
29,29,SP,1981,6/16/81,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
30,30,SP,1981,6/16/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
31,31,SP,1981,6/16/81,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
32,32,SP,1981,6/16/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
33,33,SP,1981,6/16/81,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
34,34,SP,1981,6/16/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
35,35,SP,1981,6/16/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
36,36,SP,1981,6/16/81,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
37,37,SP,1981,6/16/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
38,38,SP,1981,6/16/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
39,39,SP,1981,6/16/81,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
40,40,SP,1981,6/16/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
41,41,SP,1981,6/16/81,iceoff,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
42,42,SP,1981,6/16/81,iceoff,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
43,43,SP,1981,6/30/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,"(-Inf,3]",epi
44,44,SP,1981,6/30/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,"(-Inf,3]",epi
45,45,SP,1981,6/30/81,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,2800,"(-Inf,3]",epi
46,46,SP,1981,6/30/81,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,"(-Inf,3]",epi
47,47,SP,1981,6/30/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,"(3,11]",meta
48,48,SP,1981,6/30/81,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,"(3,11]",meta
49,49,SP,1981,6/30/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,"(3,11]",meta
50,50,SP,1981,6/30/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,3100,"(3,11]",meta
51,51,SP,1981,6/30/81,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,"(3,11]",meta
52,52,SP,1981,6/30/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,"(3,11]",meta
53,53,SP,1981,6/30/81,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,"(3,11]",meta
54,54,SP,1981,6/30/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"(3,11]",meta
55,55,SP,1981,6/30/81,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,"(11, Inf]",hypo
56,56,SP,1981,6/30/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,"(11, Inf]",hypo
57,57,SP,1981,6/30/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,"(11, Inf]",hypo
58,58,SP,1981,6/30/81,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,"(11, Inf]",hypo
59,59,SP,1981,6/30/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,"(11, Inf]",hypo
60,60,SP,1981,6/30/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"(11, Inf]",hypo
61,61,SP,1981,6/30/81,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,"(11, Inf]",hypo
62,62,SP,1981,6/30/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,4100,"(11, Inf]",hypo
63,63,SP,1981,6/30/81,iceoff,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
64,64,SP,1981,7/16/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
65,65,SP,1981,7/16/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
66,66,SP,1981,7/16/81,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
67,67,SP,1981,7/16/81,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
68,68,SP,1981,7/16/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
69,69,SP,1981,7/16/81,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
70,70,SP,1981,7/16/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
71,71,SP,1981,7/16/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
72,72,SP,1981,7/16/81,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
73,73,SP,1981,7/16/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
74,74,SP,1981,7/16/81,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
75,75,SP,1981,7/16/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
76,76,SP,1981,7/16/81,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
77,77,SP,1981,7/16/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
78,78,SP,1981,7/16/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
79,79,SP,1981,7/16/81,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
80,80,SP,1981,7/16/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
81,81,SP,1981,7/16/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
82,82,SP,1981,7/16/81,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
83,83,SP,1981,7/16/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
84,84,SP,1981,7/16/81,iceoff,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
85,85,SP,1981,7/27/81,iceoff,0,7.88,310,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"(-Inf,3]",epi
86,86,SP,1981,7/27/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"(-Inf,3]",epi
87,87,SP,1981,7/27/81,iceoff,2,NA,NA,NA,NA,NA,NA,25,NA,NA,9.1,NA,NA,2,4,3400,"(-Inf,3]",epi
88,88,SP,1981,7/27/81,iceoff,3,8,298,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"(-Inf,3]",epi
89,89,SP,1981,7/27/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"(3,11]",meta
90,90,SP,1981,7/27/81,iceoff,5,6.49,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"(3,11]",meta
91,91,SP,1981,7/27/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"(3,11]",meta
92,92,SP,1981,7/27/81,iceoff,7,NA,NA,NA,NA,NA,NA,23,NA,NA,13.6,NA,NA,4,10,3500,"(3,11]",meta
93,93,SP,1981,7/27/81,iceoff,8,8.37,306,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,"(3,11]",meta
94,94,SP,1981,7/27/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,"(3,11]",meta
95,95,SP,1981,7/27/81,iceoff,10,7.7,NA,NA,NA,NA,NA,0,NA,NA,12,NA,NA,3,8,NA,"(3,11]",meta
96,96,SP,1981,7/27/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,"(3,11]",meta
97,97,SP,1981,7/27/81,iceoff,12,NA,NA,NA,NA,NA,NA,0,NA,NA,9.5,NA,NA,2,5,4000,"(11, Inf]",hypo
98,98,SP,1981,7/27/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,"(11, Inf]",hypo
99,99,SP,1981,7/27/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,"(11, Inf]",hypo
100,100,SP,1981,7/27/81,iceoff,15,NA,NA,NA,NA,NA,NA,200,NA,NA,5.2,NA,NA,3,5,NA,"(11, Inf]",hypo
101,101,SP,1981,7/27/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,"(11, Inf]",hypo
102,102,SP,1981,7/27/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,"(11, Inf]",hypo
103,103,SP,1981,7/27/81,iceoff,18,6.49,670,NA,NA,NA,NA,0,NA,NA,1.7,NA,NA,6,16,5700,"(11, Inf]",hypo
104,104,SP,1981,7/27/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,"(11, Inf]",hypo
105,105,SP,1981,8/11/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
106,106,SP,1981,8/11/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
107,107,SP,1981,8/11/81,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
108,108,SP,1981,8/11/81,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
109,109,SP,1981,8/11/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
110,110,SP,1981,8/11/81,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
111,111,SP,1981,8/11/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
112,112,SP,1981,8/11/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
113,113,SP,1981,8/11/81,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
114,114,SP,1981,8/11/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
115,115,SP,1981,8/11/81,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
116,116,SP,1981,8/11/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,11]",meta
117,117,SP,1981,8/11/81,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
118,118,SP,1981,8/11/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
119,119,SP,1981,8/11/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
120,120,SP,1981,8/11/81,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
121,121,SP,1981,8/11/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
122,122,SP,1981,8/11/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
123,123,SP,1981,8/11/81,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
124,124,SP,1981,8/11/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(11, Inf]",hypo
125,125,SP,1981,8/25/81,iceoff,0,8.02,533,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,"(-Inf,3]",epi
126,126,SP,1981,8/25/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,"(-Inf,3]",epi
127,127,SP,1981,8/25/81,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,"(-Inf,3]",epi
128,128,SP,1981,8/25/81,iceoff,3,NA,NA,NA,NA,NA,NA,0,NA,NA,9.4,NA,NA,2,4,3400,"(-Inf,3]",epi
129,129,SP,1981,8/25/81,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,"(3,11]",meta
130,130,SP,1981,8/25/81,iceoff,5,8.06,604,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,"(3,11]",meta
131,131,SP,1981,8/25/81,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,"(3,11]",meta
132,132,SP,1981,8/25/81,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,"(3,11]",meta
133,133,SP,1981,8/25/81,iceoff,8,8.53,612,NA,NA,NA,NA,22,NA,NA,14.1,NA,NA,3,6,3500,"(3,11]",meta
134,134,SP,1981,8/25/81,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,"(3,11]",meta
135,135,SP,1981,8/25/81,iceoff,10,8.18,610,NA,NA,NA,NA,42,NA,NA,12.4,NA,NA,4,7,3400,"(3,11]",meta
136,136,SP,1981,8/25/81,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,"(3,11]",meta
137,137,SP,1981,8/25/81,iceoff,12,7.33,601,NA,NA,NA,NA,0,NA,NA,9.5,NA,NA,3,8,3800,"(11, Inf]",hypo
138,138,SP,1981,8/25/81,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,"(11, Inf]",hypo
139,139,SP,1981,8/25/81,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"(11, Inf]",hypo
140,140,SP,1981,8/25/81,iceoff,15,NA,NA,NA,NA,NA,NA,10,NA,NA,0.5,NA,NA,4,5,4000,"(11, Inf]",hypo
141,141,SP,1981,8/25/81,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,"(11, Inf]",hypo
142,142,SP,1981,8/25/81,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,"(11, Inf]",hypo
143,143,SP,1981,8/25/81,iceoff,18,6.46,675,NA,NA,NA,NA,2,NA,NA,0.1,NA,NA,5,6,5600,"(11, Inf]",hypo
144,144,SP,1981,8/25/81,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,"(11, Inf]",hypo
145,145,SP,1981,9/15/81,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
146,146,SP,1981,9/15/81,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-Inf,3]",epi
