,lakeid,year4,sampledate,ice,depth,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2,totnf,totnuf,totpf,totpuf,drsif
1,SP,1981,06/04/1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
2,SP,1981,06/04/1981,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
3,SP,1981,06/04/1981,iceoff,2,7.68,NA,NA,NA,NA,NA,0,NA,NA,8.9,NA,NA,3,7,3000
4,SP,1981,06/04/1981,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
5,SP,1981,06/04/1981,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
6,SP,1981,06/04/1981,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA
7,SP,1981,06/04/1981,iceoff,6,7.99,NA,NA,NA,NA,NA,0,NA,NA,11.3,NA,NA,4,5,3100
8,SP,1981,06/04/1981,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA
9,SP,1981,06/04/1981,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
10,SP,1981,06/04/1981,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
11,SP,1981,06/04/1981,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA
12,SP,1981,06/04/1981,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA
13,SP,1981,06/04/1981,iceoff,12,7.18,NA,NA,NA,NA,NA,0,NA,NA,10.2,NA,NA,4,8,3100
14,SP,1981,06/04/1981,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA
15,SP,1981,06/04/1981,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
16,SP,1981,06/04/1981,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
17,SP,1981,06/04/1981,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA
18,SP,1981,06/04/1981,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA
19,SP,1981,06/04/1981,iceoff,18,6.6,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,5,14,3500
20,SP,1981,06/04/1981,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
21,SP,1981,06/16/1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,SP,1981,06/16/1981,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,SP,1981,06/16/1981,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,SP,1981,06/16/1981,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,SP,1981,06/16/1981,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,SP,1981,06/16/1981,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,SP,1981,06/16/1981,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,SP,1981,06/16/1981,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,SP,1981,06/16/1981,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,SP,1981,06/16/1981,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,SP,1981,06/16/1981,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,SP,1981,06/16/1981,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,SP,1981,06/16/1981,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,SP,1981,06/16/1981,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,SP,1981,06/16/1981,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,SP,1981,06/16/1981,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,SP,1981,06/16/1981,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,SP,1981,06/16/1981,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,SP,1981,06/16/1981,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,SP,1981,06/16/1981,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,SP,1981,06/16/1981,iceoff,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,SP,1981,06/16/1981,iceoff,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,SP,1981,06/30/1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
44,SP,1981,06/30/1981,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA
45,SP,1981,06/30/1981,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,2800
46,SP,1981,06/30/1981,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA
47,SP,1981,06/30/1981,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA
48,SP,1981,06/30/1981,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
49,SP,1981,06/30/1981,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA
50,SP,1981,06/30/1981,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,3100
51,SP,1981,06/30/1981,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA
52,SP,1981,06/30/1981,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA
53,SP,1981,06/30/1981,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA
54,SP,1981,06/30/1981,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
55,SP,1981,06/30/1981,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA
56,SP,1981,06/30/1981,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA
57,SP,1981,06/30/1981,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
58,SP,1981,06/30/1981,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
59,SP,1981,06/30/1981,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
60,SP,1981,06/30/1981,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
61,SP,1981,06/30/1981,iceoff,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
62,SP,1981,06/30/1981,iceoff,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,4100
63,SP,1981,06/30/1981,iceoff,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,SP,1981,07/16/1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,SP,1981,07/16/1981,iceoff,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,SP,1981,07/16/1981,iceoff,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,SP,1981,07/16/1981,iceoff,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,SP,1981,07/16/1981,iceoff,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,SP,1981,07/16/1981,iceoff,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,SP,1981,07/16/1981,iceoff,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,SP,1981,07/16/1981,iceoff,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,SP,1981,07/16/1981,iceoff,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,SP,1981,07/16/1981,iceoff,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,SP,1981,07/16/1981,iceoff,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,SP,1981,07/16/1981,iceoff,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,SP,1981,07/16/1981,iceoff,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,SP,1981,07/16/1981,iceoff,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,SP,1981,07/16/1981,iceoff,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,SP,1981,07/16/1981,iceoff,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,SP,1981,07/16/1981,iceoff,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,SP,1981,07/16/1981,iceoff,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
