lakeid,year4,sampledate,extcoef,comments
SP,1981,6/4/81,,extcoef: No light data
SP,1981,6/16/81,,extcoef: No light data
SP,1981,6/30/81,0.293,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,7/16/81,0.329,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,7/27/81,0.307,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,8/11/81,0.342,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,8/25/81,0.324,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,9/15/81,0.334,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,9/22/81,,extcoef: Insufficient light data
SP,1981,10/19/81,0.323,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1981,12/2/81,0.35,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1982,1/20/82,,extcoef: No light data
SP,1982,2/24/82,,extcoef: No light data
SP,1982,4/5/82,,extcoef: No light data
SP,1982,5/12/82,0.42,
SP,1982,5/27/82,,extcoef: Light not monotonically decreasing
SP,1982,6/10/82,,extcoef: Light not monotonically decreasing
SP,1982,6/23/82,,extcoef: Light not monotonically decreasing
SP,1982,7/8/82,,extcoef: No light data
SP,1982,7/20/82,,extcoef: No light data
SP,1982,8/2/82,,extcoef: No light data
SP,1982,8/17/82,0.343,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,1982,9/9/82,0.322,
SP,1982,9/20/82,,extcoef: No light data
SP,1982,10/7/82,,extcoef: Light not monotonically decreasing
SP,1982,10/19/82,0.269,
SP,1982,11/10/82,0.317,
SP,1982,12/2/82,0.328,
SP,1983,1/13/83,,extcoef: No light data
SP,1983,2/24/83,,extcoef: No light data
SP,1983,3/28/83,,extcoef: No light data
SP,1983,5/11/83,0.466,
SP,1983,5/25/83,,extcoef: Light not monotonically decreasing
SP,1983,6/9/83,0.429,
SP,1983,6/21/83,0.332,
SP,1983,7/8/83,0.364,
SP,1983,7/21/83,0.344,
SP,1983,8/1/83,0.33,
SP,1983,8/16/83,0.291,
SP,1983,9/6/83,,extcoef: No light data
SP,1983,9/27/83,0.311,
SP,1983,10/17/83,0.334,
SP,1983,11/2/83,0.308,
SP,1983,11/15/83,0.436,
SP,1983,11/29/83,0.373,
SP,1984,1/6/84,,extcoef: No light data
SP,1984,2/27/84,,extcoef: No light data
SP,1984,4/10/84,,extcoef: No light data
SP,1984,4/26/84,,extcoef: No light data
SP,1984,5/9/84,,extcoef: No light data
SP,1984,5/21/84,0.407,
SP,1984,6/4/84,0.4,
SP,1984,6/20/84,0.318,
SP,1984,7/5/84,,extcoef: Light not monotonically decreasing
SP,1984,7/16/84,0.268,
SP,1984,7/31/84,0.292,
SP,1984,8/16/84,0.357,
SP,1984,9/5/84,0.321,
SP,1984,9/25/84,,extcoef: No light data
SP,1984,10/17/84,0.32,
SP,1984,11/7/84,0.493,
