sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef
6/4/81,0,8.8,,,,,,,
6/4/81,1,8.9,,,,,,,
6/4/81,2,8.9,,,,,,,
6/4/81,3,8.9,,,,,,,
6/4/81,4,8.9,,,,,,,
6/4/81,5,10.5,,,,,,,
6/4/81,6,11.3,,,,,,,
6/4/81,7,11.2,,,,,,,
6/4/81,8,11,,,,,,,
6/4/81,9,11,,,,,,,
6/4/81,10,10.9,,,,,,,
6/4/81,11,10.6,,,,,,,
6/4/81,12,10.2,,,,,,,
6/4/81,13,9.9,,,,,,,
6/4/81,14,8.9,,,,,,,
6/4/81,15,8.5,,,,,,,
6/4/81,16,7.6,,,,,,,
6/4/81,17,7.1,,,,,,,
6/4/81,18,6.1,,,,,,,
6/4/81,19,5.8,,,,,,,
6/16/81,0,,,400,,,,,
6/16/81,1,,,160,,,,,
6/16/81,2,,,145,,,,,
6/16/81,3,,,325,,,,,
6/16/81,4,,,225,,,,,
6/16/81,5,,,180,,,,,
6/16/81,6,,,125,,,,,
6/16/81,7,,,93,,,,,
6/16/81,8,,,69,,,,,
6/16/81,9,,,48,,,,,
6/16/81,10,,,36,,,,,
6/16/81,11,,,,,,,,
6/16/81,12,,,27,,,,,
6/16/81,13,,,19.5,,,,,
6/16/81,14,,,15.5,,,,,
6/16/81,15,,,5.1,,,,,
6/16/81,16,,,4,,,,,
6/16/81,17,,,2.7,,,,,
6/16/81,18,,,2.2,,,,,
6/16/81,19,,,0.9,,,,,
6/16/81,20,,,0.5,,,,,
6/16/81,20.3,,,0,,,,,
6/30/81,0,7.5,,1100,,,,,
6/30/81,1,7.4,,500,,,,,
6/30/81,2,7.4,,320,,,,,
6/30/81,3,7.4,,170,,,,,
6/30/81,4,7.4,,130,,,,,
6/30/81,5,7.5,,100,,,,,
6/30/81,6,8.1,,54,,,,,
6/30/81,7,9.1,,50,,,,,
6/30/81,8,10.1,,40,,,,,
6/30/81,9,9.8,,31,,,,,
6/30/81,10,9.4,,24,,,,,
6/30/81,11,9,,16,,,,,
6/30/81,12,8.2,,15,,,,,
6/30/81,13,7.3,,10,,,,,
6/30/81,14,6.3,,8,,,,,
6/30/81,15,5.7,,6.5,,,,,
6/30/81,16,4.6,,4.8,,,,,
6/30/81,17,4,,3.1,,,,,
6/30/81,18,3.4,,1.8,,,,,
6/30/81,19,2.3,,0.6,,,,,
6/30/81,20,,,0.1,,,,,
7/16/81,0,,760,440,0.579,,,,
7/16/81,1,,,400,,,,,
7/16/81,2,,,310,,,,,
7/16/81,3,,,220,,,,,
7/16/81,4,,,145,,,,,
7/16/81,5,,,70,,,,,
