lakeid,year4,sample_date,species_code,species_name,density,individuals_measured,avg_length
SP,1981,06/04/1981,10000,COPEPOD NAUPLII,28.07,,
SP,1981,06/04/1981,20000,CYCLOPOID,10.59,,
SP,1981,06/04/1981,20302,DIACYCLOPS THOMASI,4.01,,
SP,1981,06/04/1981,30000,CALANOID,5.22,,
SP,1981,06/04/1981,30402,LEPTODIAPTOMUS MINUTUS,0.14,,
SP,1981,06/04/1981,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,,
SP,1981,06/04/1981,51103,DAPHNIA MENDOTAE,0.54,,
SP,1981,06/04/1981,51104,DAPHNIA LONGIREMIS,0.72,,
SP,1981,06/04/1981,51130,DAPHNIA PULICARIA,0.23,,
SP,1981,06/04/1981,51800,HOLOPEDIUM,0.4,,
SP,1981,06/04/1981,60300,ASPLANCHNA,2.58,,
SP,1981,06/04/1981,60902,CONOCHILUS UNICORNIS,40.32,,
SP,1981,06/04/1981,61400,FILINIA,6.29,,
SP,1981,06/04/1981,61701,KELLICOTTIA BOSTONIENSIS,1.56,,
SP,1981,06/04/1981,61702,KELLICOTTIA LONGISPINA,46.81,,
SP,1981,06/04/1981,61801,KERATELLA COCHLEARIS,110.03,,
SP,1981,06/04/1981,61805,KERATELLA HIEMALIS,1.15,,
SP,1981,06/04/1981,61806,KERATELLA QUADRATA,9.22,,
SP,1981,06/04/1981,61900,LECANE,1.46,,
SP,1981,06/04/1981,61904,LECANE INERMIS,0.14,,
SP,1981,06/04/1981,63001,POLYARTHRA DOLICHOPTERA,4.62,,
SP,1981,06/04/1981,63005,POLYARTHRA VULGARIS,38.8,,
SP,1981,06/04/1981,69934,,1.49,,
SP,1981,06/30/1981,10000,COPEPOD NAUPLII,1.86,,
SP,1981,06/30/1981,20000,CYCLOPOID,1.81,,
SP,1981,06/30/1981,30000,CALANOID,0.85,,
SP,1981,06/30/1981,50000,CLADOCERAN,0.58,,
SP,1981,06/30/1981,51100,DAPHNIA,0.39,,
SP,1981,06/30/1981,51103,DAPHNIA MENDOTAE,0.39,,
SP,1981,06/30/1981,51108,DAPHNIA DENTIFERA,0.39,,
SP,1981,06/30/1981,51801,HOLOPEDIUM GIBBERUM,0.39,,
SP,1981,06/30/1981,61702,KELLICOTTIA LONGISPINA,0.54,,
SP,1981,06/30/1981,61801,KERATELLA COCHLEARIS,5.36,,
SP,1981,06/30/1981,61803,KERATELLA CRASSA,1.03,,
SP,1981,06/30/1981,61806,KERATELLA QUADRATA,0.39,,
SP,1981,06/30/1981,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,1981,06/30/1981,61900,LECANE,0.39,,
SP,1981,06/30/1981,63000,POLYARTHRA,0.97,,
SP,1981,06/30/1981,63400,SYNCHAETA,0.68,,
SP,1981,06/30/1981,69901,,12.86,,
SP,1981,06/30/1981,69902,,0.65,,
SP,1981,06/30/1981,70038,,0.39,,
SP,1981,07/16/1981,10000,COPEPOD NAUPLII,0.85,,
SP,1981,07/16/1981,20000,CYCLOPOID,1.26,,
SP,1981,07/16/1981,30000,CALANOID,0.52,,
SP,1981,07/16/1981,50000,CLADOCERAN,0.78,,
SP,1981,07/16/1981,50700,BOSMINIDAE,0.39,,
SP,1981,07/16/1981,51104,DAPHNIA LONGIREMIS,0.39,,
SP,1981,07/16/1981,51108,DAPHNIA DENTIFERA,0.39,,
SP,1981,07/16/1981,51130,DAPHNIA PULICARIA,0.39,,
SP,1981,07/16/1981,51200,DIAPHANOSOMA,0.39,,
SP,1981,07/16/1981,61400,FILINIA,0.39,,
SP,1981,07/16/1981,61702,KELLICOTTIA LONGISPINA,0.62,,
SP,1981,07/16/1981,61801,KERATELLA COCHLEARIS,1.78,,
SP,1981,07/16/1981,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,1981,07/16/1981,63000,POLYARTHRA,1.86,,
SP,1981,07/16/1981,63400,SYNCHAETA,0.78,,
SP,1981,07/16/1981,69901,,4.26,,
SP,1981,07/16/1981,69902,,1.47,,
SP,1981,07/16/1981,70051,,0.39,,
SP,1981,07/27/1981,10000,COPEPOD NAUPLII,1,,
SP,1981,07/27/1981,20000,CYCLOPOID,0.73,,
SP,1981,07/27/1981,30000,CALANOID,0.56,,
SP,1981,07/27/1981,50700,BOSMINIDAE,0.84,,
SP,1981,07/27/1981,51103,DAPHNIA MENDOTAE,0.42,,
SP,1981,07/27/1981,51200,DIAPHANOSOMA,0.84,,
SP,1981,07/27/1981,60700,COLURELLA,0.42,,
SP,1981,07/27/1981,61702,KELLICOTTIA LONGISPINA,0.94,,
SP,1981,07/27/1981,61801,KERATELLA COCHLEARIS,1.46,,
SP,1981,07/27/1981,61803,KERATELLA CRASSA,1.26,,
SP,1981,07/27/1981,61900,LECANE,0.42,,
SP,1981,07/27/1981,63000,POLYARTHRA,2.18,,
SP,1981,07/27/1981,63400,SYNCHAETA,0.42,,
SP,1981,07/27/1981,69901,,1.05,,
SP,1981,07/27/1981,70039,,0.42,,
SP,1981,07/27/1981,70065,,0.56,,
SP,1981,08/11/1981,10000,COPEPOD NAUPLII,2.07,,
SP,1981,08/11/1981,20000,CYCLOPOID,1.16,,
SP,1981,08/11/1981,30000,CALANOID,0.21,,
SP,1981,08/11/1981,50700,BOSMINIDAE,4.76,,
SP,1981,08/11/1981,51000,CHYDORUS,0.29,,
SP,1981,08/11/1981,51100,DAPHNIA,0.09,,
SP,1981,08/11/1981,51103,DAPHNIA MENDOTAE,0.09,,
SP,1981,08/11/1981,51107,DAPHNIA RETROCURVA,0.09,,
SP,1981,08/11/1981,51200,DIAPHANOSOMA,1.29,,
SP,1981,08/11/1981,60800,CONOCHILOIDES,0.09,,
SP,1981,08/11/1981,61500,GASTROPUS,0.95,,
SP,1981,08/11/1981,61702,KELLICOTTIA LONGISPINA,1.45,,
SP,1981,08/11/1981,61801,KERATELLA COCHLEARIS,0.44,,
SP,1981,08/11/1981,61803,KERATELLA CRASSA,1.26,,
