Lake,Name,Depth,Date,month,group,Alkalinity,Ca,Cl,DIC,DOC,DRSI,Fe,K,Mg,Mn,Na,NH4,NO3 NO2,SO4,TIC,TOC,Total N (F),Total N (UF),Total P (F),Total P (UF)
SSB,A,0,2018-11-08,nov,clear,25,,0.38,3.81,17.53,1077,,,,,,187,2,0.23,5,18.09,643,692,28,45
SSB,B,3,2018-11-08,nov,clear,31,,0.37,3.62,17.91,1053,,,,,,184,2,0.21,4.48,18.05,603,987,24,52
SSB,C,7,2018-11-08,nov,clear,29,,0.38,,,1004,,,,,,187,2,0.23,4.92,17.95,589,692,23,47
SSB,A,0,2019-01-08,jan,ice on,,,0.39,,,3827,,,,,,228,6,0.47,,,741,904,62,48
SSB,B,3,2019-01-08,jan,ice on,,,0.26,5.01,19.74,1094,,,,,,274,1,0.34,,,325,906,34,41
SSB,C,7,2019-01-08,jan,ice on,,,0.3,6.1,20.33,1206,,,,,,426,2,0.35,2.23,21.66,1139,1136,62,72
SSB,A,0,2019-02-16,feb,ice on,26.8,,0.75,4.53,47.36,1336,,,,,,406,153,1.12,5.4,31.27,1635,1502,38,54
SSB,B,3,2019-02-16,feb,ice on,30.26,,0.57,6.02,19.51,1140,,,,,,312,9,0.37,5.09,19.06,1016,893,42,42
SSB,C,7,2019-02-16,feb,ice on,37.67,,0.47,8.58,21.73,1431,,,,,,798,10,0.37,8.47,21.62,1420,1418,83,89
SSB,A,0,2019-03-09,march,ice on,,,0.37,5.87,19.33,1047,,,,,,239,9,0.36,4.94,20.81,772,1026,26,41
SSB,B,3,2019-03-09,march,ice on,,,0.35,6.18,19.4,1163,,,,,,331,9,0.35,5.99,19.42,928,996,35,44
SSB,C,7,2019-03-09,march,ice on,,,0.38,8,21.09,1486,,,,,,606,9,0.35,8.46,21.77,1374,1424,64,93
SSB,A,0,2019-04-06,april,ice on,,,,1.53,22.41,1086,,,,,,,,,0.86,24.92,,,,
SSB,B,3,2019-04-06,april,ice on,,,,,,1309,,,,,,,,,2.23,20.87,,,,
SSB,C,7,2019-04-06,april,ice on,,,,,,1808,,,,,,,,,,,,,,
SSB,A,0,2019-05-02,may,clear,,,,0.83,14.27,121,,,,,,,,,1.16,14.6,,,,
SSB,B,3,2019-05-02,may,clear,,,,6.35,20.13,1430,,,,,,,,,7.39,20.86,,,,
SSB,C,7,2019-05-02,may,clear,,,,9.87,22.76,1832,,,,,,,,,9.77,23.93,,,,
TB,A,0,2018-11-06,nov,clear,5,1.48,0.33,4.39,27.82,860,0.44,0.68,0.4,0.06,0.23,101,3,0.66,4.21,28.39,608,620,7,19
TB,B,3,2018-11-06,nov,clear,2,1.49,0.33,4.825,28.09,963.5,0.445,0.675,0.395,0.06,0.23,111.5,3,0.665,3.99,28.625,723,1255.5,12,34.5
TB,C,7,2018-11-06,nov,clear,111,1.91,0.35,13.12,34.75,2830,0.63,0.82,0.47,0.07,0.26,1452,4,0.64,12.72,35.33,2652,2364,138,144
TB,A,0,,jan,ice on,,,,4.205,30.615,1106,,,,,102,7,,,5.52,33.81,853,1226.5,19,57
TB,B,3,,jan,ice on,,,,4.86,29.53,1132,,,,,119,7,,,4.9,29.92,649,771,12,20
TB,C,7,,jan,ice on,,,,8.51,35.44,1976,,,,,852,4,,,8.66,36.08,1678,1603,91,91
TB,A,0,2019-02-22,feb,ice on,0,1.57,0.5,4.7,31.48,1047,0.47,0.68,0.4,0.06,0.25,121,11,0.46,5.19,29.66,891,931,16,30
TB,B,3,2019-02-22,feb,ice on,2,1.54,0.48,4.81,29.27,1028,0.49,0.65,0.4,6,0.24,128,10,0.39,5,29.01,790,847,18,25
TB,C,7,2019-02-22,feb,ice on,25,1.595,0.48,6.205,30.595,1373,0.52,0.67,0.41,0.06,0.245,422.5,10,0.39,6.775,30.755,1256.5,1199,58.5,55.5
TB,A,0,2019-03-25,march,ice on,,,,3.64,31.56,982,,,,,,140,37,,3.77,30.77,828,867,15,22
TB,B,3,2019-03-25,march,ice on,,,,5.08,30.32,1095,,,,,,172.5,3.5,,5.09,30.35,826,882.5,16.5,26
TB,C,7,2019-03-25,march,ice on,,,,7.04,32.62,1474,,,,,,499,2,,6.39,32.22,1276,1276,61,63
TB,A,0,2019-05-06,may,clear,0,,,1.07,24.98,136,,,,,,3,1,,1.79,24.74,,,,
TB,B,3,2019-05-06,may,clear,0,,,4.985,29.52,1000,,,,,,19,3.5,,5.47,29.435,,,,
TB,C,7,2019-05-06,may,clear,21,,,8.94,35.61,2120,,,,,,1055,5,,10.37,36.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
